ClientRef,Segment,State,TenureYears,TotalBalanceAUD,LendingBalanceAUD,ProductCount,MonthsSinceContact,RelationshipManagerAssigned,EngagementLevel,OpenServiceItems
CLI-700001,Commercial,SA,17,2299621,5076626,4,3,Y,Low,2
CLI-700002,Small Business,NZ,24,109020,129007,2,6,N,Low,0
CLI-700003,Small Business,NZ,15,43513,28702,6,16,Y,Medium,2
CLI-700004,Commercial,VIC,11,2422772,3706619,4,3,Y,Medium,4
CLI-700005,Small Business,QLD,3,125795,225049,1,25,Y,Medium,4
CLI-700006,Small Business,NSW,24,76327,93579,1,25,N,Medium,4
CLI-700007,Commercial,WA,24,225668,146285,6,2,Y,Low,3
CLI-700008,Retail Premium,SA,2,922563,1949863,7,16,N,Medium,4
CLI-700009,Commercial,NSW,10,1980304,1742003,5,6,Y,Low,0
CLI-700010,Commercial,SA,13,1654667,3550853,7,4,Y,Medium,0
CLI-700011,Small Business,VIC,19,276116,626488,3,23,N,High,3
CLI-700012,Small Business,QLD,14,398939,917471,3,10,Y,Low,2
CLI-700013,Small Business,NSW,23,145793,250883,1,8,Y,Medium,4
CLI-700014,Small Business,QLD,5,265559,603305,7,6,N,High,4
CLI-700015,Commercial,WA,1,1156845,220062,6,5,Y,Low,2
CLI-700016,Small Business,NSW,13,79033,122784,7,24,N,High,4
CLI-700017,Small Business,NZ,9,196242,433810,3,19,Y,Medium,4
CLI-700018,Commercial,VIC,2,1464435,1138820,3,5,Y,Medium,0
CLI-700019,Retail Premium,VIC,18,427431,41609,5,5,Y,Medium,3
CLI-700020,Retail Premium,WA,6,968542,1352116,1,11,N,Medium,1
CLI-700021,Retail Premium,NSW,15,397090,19144,4,9,N,Medium,0
CLI-700022,Small Business,QLD,19,193466,181484,5,24,N,Low,3
CLI-700023,Retail Premium,VIC,10,408231,26607,6,3,N,Medium,3
CLI-700024,Retail Premium,QLD,16,285879,379679,7,9,N,High,1
CLI-700025,Retail Premium,SA,1,287436,582961,4,8,N,Low,1
CLI-700026,Retail Premium,VIC,8,734883,1047794,2,8,N,Medium,2
CLI-700027,Retail Premium,NSW,18,382742,362290,3,7,Y,Medium,3
CLI-700028,Retail Premium,NZ,18,858356,284573,3,13,N,Low,2
CLI-700029,Small Business,VIC,10,70489,109696,7,23,N,High,4
CLI-700030,Retail Premium,WA,9,703598,1224362,1,9,N,Low,1
CLI-700031,Small Business,QLD,7,145698,162189,2,7,N,Medium,1
CLI-700032,Retail Premium,NZ,13,495458,1188827,5,16,N,Low,2
CLI-700033,Retail Premium,NZ,21,445928,480475,1,9,Y,Low,3
CLI-700034,Small Business,VIC,14,229776,166074,5,9,N,High,4
CLI-700035,Retail Premium,QLD,24,844830,1783467,5,11,N,Low,3
CLI-700036,Small Business,NZ,22,290414,390464,2,18,N,Low,4
CLI-700037,Small Business,VIC,22,444676,358082,6,8,Y,High,2
CLI-700038,Retail Premium,QLD,5,821434,174829,1,9,Y,Medium,2
CLI-700039,Commercial,WA,23,2036478,636826,3,1,Y,Medium,2
CLI-700040,Retail Premium,NZ,1,505227,48423,1,10,N,High,0
CLI-700041,Commercial,WA,11,1202651,1861510,5,2,Y,Medium,0
CLI-700042,Small Business,NSW,3,215573,17736,4,24,Y,Low,3
CLI-700043,Small Business,VIC,16,423231,410648,3,20,N,Low,1
CLI-700044,Small Business,VIC,24,52331,109621,4,20,Y,Low,0
CLI-700045,Small Business,QLD,5,87184,129192,1,12,N,High,0
CLI-700046,Retail Premium,SA,7,687209,1176498,6,6,N,Medium,2
CLI-700047,Commercial,NZ,13,2262169,1156959,5,2,Y,Medium,2
CLI-700048,Retail Premium,WA,17,246316,370092,3,15,N,High,4
CLI-700049,Retail Premium,NSW,13,585568,130910,2,9,N,Low,1
CLI-700050,Small Business,QLD,21,437461,122409,6,20,N,Low,1
CLI-700051,Small Business,NSW,4,214843,132406,5,18,N,Medium,3
CLI-700052,Commercial,QLD,22,1629153,2733179,2,4,N,Medium,0
CLI-700053,Retail Premium,NZ,18,348484,595388,7,6,N,Low,1
CLI-700054,Small Business,WA,2,200385,5051,5,11,N,High,0
CLI-700055,Retail Premium,NZ,17,694414,33597,3,4,N,Medium,4
CLI-700056,Small Business,VIC,18,294552,582000,2,22,Y,High,3
CLI-700057,Small Business,VIC,4,116119,126522,3,7,Y,High,2
CLI-700058,Small Business,QLD,14,450156,1043212,7,11,N,Medium,3
CLI-700059,Small Business,QLD,4,127463,233641,5,9,Y,Low,1
CLI-700060,Commercial,QLD,12,905365,1192711,1,4,Y,Low,4
CLI-700061,Commercial,VIC,2,1074603,1444084,5,2,Y,Low,4
CLI-700062,Small Business,NZ,7,331024,92390,2,22,N,High,2
CLI-700063,Retail Premium,SA,23,565997,457703,5,17,Y,Low,2
CLI-700064,Commercial,NZ,8,2544745,4597871,2,5,Y,Low,1
CLI-700065,Commercial,NZ,13,991685,1947138,6,6,Y,Medium,1
CLI-700066,Commercial,SA,13,2218447,2728791,3,6,N,Medium,2
CLI-700067,Commercial,NZ,20,2171564,835145,3,4,Y,Medium,3
CLI-700068,Commercial,NZ,1,1759339,2380363,3,6,Y,Low,0
CLI-700069,Retail Premium,NZ,15,945874,1073482,4,11,N,High,0
CLI-700070,Retail Premium,NSW,16,386298,355938,6,10,Y,Low,3
CLI-700071,Commercial,NSW,3,1320608,330394,1,3,N,Low,4
CLI-700072,Commercial,NSW,5,1275092,864673,5,2,Y,Medium,0
CLI-700073,Retail Premium,NZ,5,826300,115613,5,11,N,High,1
CLI-700074,Small Business,QLD,24,225508,346258,1,20,N,Low,3
CLI-700075,Commercial,QLD,21,539761,211033,2,6,Y,Medium,3
CLI-700076,Commercial,NSW,22,2705085,2834917,2,2,Y,High,0
