ClientRef,Segment,State,TenureYears,AnnualPremiumAUD,RenewalMonth,ClaimsLast3Years,MonthsSinceContact,BrokerLinked,EngagementLevel,CoverageGapFlagged
CLI-800001,Corporate,SA,6,371656,2027-03,1,14,N,Medium,N
CLI-800002,Corporate,WA,7,152555,2027-02,2,14,Y,High,N
CLI-800003,SME,WA,1,11445,2027-06,3,20,N,High,N
CLI-800004,Corporate,VIC,2,196976,2027-01,0,13,Y,Medium,Y
CLI-800005,Personal Lines,NZ,10,5657,2027-03,3,8,N,Low,N
CLI-800006,Corporate,QLD,2,421131,2027-08,2,23,Y,Low,N
CLI-800007,Corporate,VIC,11,111719,2027-11,1,21,Y,Medium,N
CLI-800008,SME,WA,12,30935,2027-02,0,17,N,Low,N
CLI-800009,SME,SA,12,7298,2027-12,2,12,N,Medium,N
CLI-800010,Personal Lines,WA,2,2314,2027-04,0,7,N,Low,N
CLI-800011,SME,VIC,10,41573,2027-12,3,4,Y,Medium,N
CLI-800012,Corporate,SA,3,281044,2027-03,2,20,Y,High,N
CLI-800013,Corporate,NZ,2,258025,2027-05,4,7,Y,High,N
CLI-800014,Corporate,WA,5,400253,2027-11,4,8,Y,High,N
CLI-800015,SME,VIC,3,51082,2027-05,4,3,Y,High,N
CLI-800016,Corporate,WA,10,282639,2027-06,1,26,Y,Low,N
CLI-800017,SME,VIC,2,17548,2027-03,1,9,N,Low,N
CLI-800018,Corporate,SA,11,303387,2027-05,4,20,Y,Low,N
CLI-800019,Corporate,WA,11,296578,2027-08,4,11,Y,Medium,Y
CLI-800020,Personal Lines,WA,5,1329,2027-09,0,14,Y,Low,N
CLI-800021,Personal Lines,WA,3,5155,2027-10,2,13,N,Medium,N
CLI-800022,Personal Lines,VIC,1,6129,2027-03,2,26,N,Low,N
CLI-800023,Personal Lines,QLD,6,2139,2027-02,2,12,N,High,N
CLI-800024,Personal Lines,WA,9,1982,2027-07,4,22,Y,Low,N
CLI-800025,SME,NSW,6,14467,2027-08,2,5,Y,Medium,N
CLI-800026,Personal Lines,WA,4,4090,2027-02,4,24,Y,Low,N
CLI-800027,Personal Lines,SA,11,2709,2027-02,4,11,Y,Low,N
CLI-800028,Corporate,NSW,3,60193,2027-02,3,16,Y,Medium,Y
CLI-800029,Personal Lines,NSW,10,1517,2027-09,3,21,N,Low,N
CLI-800030,SME,NSW,12,11983,2027-12,2,1,N,High,N
CLI-800031,Corporate,NSW,8,288936,2027-02,4,14,Y,Medium,N
CLI-800032,Personal Lines,VIC,1,5723,2027-08,4,19,N,Medium,N
CLI-800033,Personal Lines,VIC,10,1132,2027-12,1,8,N,Low,N
CLI-800034,Corporate,NZ,7,144372,2027-08,4,8,Y,High,Y
CLI-800035,SME,NZ,2,52259,2027-12,0,20,N,Low,N
CLI-800036,SME,SA,10,39517,2027-10,0,17,N,Medium,N
CLI-800037,SME,NSW,9,24483,2027-04,3,15,N,Low,N
CLI-800038,Personal Lines,SA,6,3879,2027-01,0,9,Y,Low,N
CLI-800039,Personal Lines,WA,3,1641,2027-07,0,12,Y,Low,N
CLI-800040,Corporate,NSW,4,202598,2027-07,1,12,Y,High,N
CLI-800041,Personal Lines,VIC,3,2222,2027-10,3,20,Y,Low,N
CLI-800042,SME,NZ,8,29373,2027-08,0,3,N,Low,N
CLI-800043,SME,SA,6,41630,2027-05,4,4,N,Low,N
CLI-800044,SME,NSW,7,48392,2027-04,2,15,N,Low,N
CLI-800045,Personal Lines,WA,7,2392,2027-09,0,16,N,Low,N
CLI-800046,Corporate,QLD,3,181463,2027-01,3,1,Y,Low,N
CLI-800047,SME,NZ,1,50114,2027-11,4,20,N,Medium,N
CLI-800048,SME,NSW,9,22999,2027-06,2,4,N,High,Y
CLI-800049,SME,WA,12,22128,2027-05,0,2,N,Medium,N
CLI-800050,Personal Lines,NSW,1,955,2027-12,1,26,N,Low,N
CLI-800051,Corporate,NSW,5,242324,2027-09,2,22,Y,Medium,N
CLI-800052,Personal Lines,SA,10,4751,2027-04,1,21,N,High,N
CLI-800053,Personal Lines,WA,11,6476,2027-05,2,1,Y,Medium,N
CLI-800054,SME,SA,5,49573,2027-11,4,27,Y,Medium,Y
CLI-800055,Corporate,QLD,8,170155,2027-04,0,12,Y,Medium,N
CLI-800056,SME,WA,7,15630,2027-10,3,10,N,Medium,N
CLI-800057,SME,VIC,10,16315,2027-08,0,6,N,Medium,N
CLI-800058,Corporate,NZ,5,165124,2027-08,3,8,Y,Low,N
CLI-800059,Personal Lines,VIC,6,2429,2027-09,3,13,N,Medium,Y
CLI-800060,Corporate,QLD,8,349672,2027-05,0,15,Y,Low,N
CLI-800061,SME,QLD,9,37153,2027-07,2,13,N,Low,Y
CLI-800062,SME,VIC,12,20637,2027-07,3,27,Y,Low,N
CLI-800063,Personal Lines,VIC,7,1973,2027-10,0,17,Y,High,N
CLI-800064,SME,VIC,1,13906,2027-04,2,20,N,Medium,N
CLI-800065,Personal Lines,VIC,10,6950,2027-01,2,15,N,High,Y
CLI-800066,SME,SA,4,30554,2027-08,2,7,N,Medium,N
CLI-800067,SME,NSW,6,10334,2027-11,3,11,N,Medium,N
CLI-800068,SME,VIC,3,45858,2027-06,0,27,N,Medium,N
CLI-800069,SME,SA,8,13348,2027-10,1,7,Y,Low,N
CLI-800070,Personal Lines,WA,8,1593,2027-11,1,2,N,Medium,Y
CLI-800071,Corporate,NZ,1,307272,2027-02,2,8,Y,Medium,N
CLI-800072,SME,SA,7,51826,2027-10,0,10,Y,Low,N
CLI-800073,SME,SA,9,41506,2027-09,4,18,N,Medium,Y
CLI-800074,Corporate,NSW,3,120407,2027-06,4,25,Y,Low,N
CLI-800075,Personal Lines,WA,10,4009,2027-08,4,20,N,Low,N
CLI-800076,SME,NSW,5,48345,2027-08,1,11,Y,Medium,Y
CLI-800077,Corporate,WA,9,56804,2027-10,4,26,Y,Medium,N
CLI-800078,Corporate,WA,1,60470,2027-08,4,7,Y,High,Y
CLI-800079,Personal Lines,VIC,5,6223,2027-02,0,3,N,Low,N
CLI-800080,SME,QLD,5,20986,2027-01,4,1,Y,Low,Y
CLI-800081,SME,WA,8,7755,2027-08,0,17,Y,Medium,N
CLI-800082,Personal Lines,WA,9,2414,2027-02,0,5,N,Medium,Y
CLI-800083,SME,NZ,7,30421,2027-12,2,15,N,Low,N
CLI-800084,Personal Lines,NSW,10,5012,2027-09,4,21,N,Low,Y
CLI-800085,Personal Lines,VIC,7,3100,2027-11,4,1,N,High,N
CLI-800086,SME,QLD,4,45765,2027-03,0,14,Y,Low,N
CLI-800087,SME,SA,5,38579,2027-12,2,27,N,Medium,N
CLI-800088,Personal Lines,NSW,9,4143,2027-12,4,19,N,Medium,N
CLI-800089,Corporate,VIC,8,219431,2027-01,1,5,Y,Low,N
CLI-800090,Personal Lines,NSW,9,6012,2027-12,2,4,N,Low,N
CLI-800091,SME,WA,1,43165,2027-01,2,24,Y,Medium,N
CLI-800092,SME,SA,3,45988,2027-08,4,20,Y,Medium,N
CLI-800093,SME,SA,10,27744,2027-02,1,3,N,High,N
CLI-800094,SME,QLD,12,49566,2027-08,0,16,Y,High,N
CLI-800095,SME,NSW,1,34854,2027-07,2,3,N,Low,N
CLI-800096,Personal Lines,NSW,1,6924,2027-09,0,1,N,Low,N
CLI-800097,Personal Lines,VIC,4,6727,2027-05,2,9,N,Medium,N
CLI-800098,Personal Lines,NZ,11,846,2027-10,2,1,Y,High,N
CLI-800099,Corporate,QLD,11,391370,2027-10,3,5,Y,Low,N
CLI-800100,SME,VIC,8,23287,2027-03,0,19,N,Medium,N
CLI-800101,Corporate,QLD,5,391001,2027-08,2,7,Y,High,N
CLI-800102,Corporate,NZ,4,299439,2027-01,0,5,Y,High,N
CLI-800103,Corporate,SA,4,129565,2027-09,0,13,Y,Low,N
CLI-800104,Corporate,QLD,12,99232,2027-08,4,22,Y,Low,N
CLI-800105,Corporate,QLD,1,337345,2027-06,3,3,Y,Medium,N
CLI-800106,SME,NSW,3,48703,2027-10,2,22,N,Low,N
CLI-800107,SME,WA,3,46176,2027-04,0,14,N,Low,N
CLI-800108,Personal Lines,NSW,2,1336,2027-05,3,14,Y,Medium,N
CLI-800109,Personal Lines,NSW,9,4671,2027-04,0,12,N,Low,N
CLI-800110,SME,SA,5,35846,2027-11,1,22,N,Medium,N
CLI-800111,Corporate,SA,4,213137,2027-05,4,5,N,Low,N
CLI-800112,Corporate,NSW,12,376757,2027-05,3,27,Y,Low,N
CLI-800113,SME,WA,11,35921,2027-02,2,23,N,Medium,N
CLI-800114,Personal Lines,SA,10,4461,2027-11,2,8,N,Low,N
CLI-800115,SME,NSW,4,49114,2027-02,4,21,N,Low,N
CLI-800116,SME,QLD,6,6905,2027-11,2,5,N,Medium,N
CLI-800117,SME,NZ,5,27316,2027-03,2,2,N,Low,Y
CLI-800118,Corporate,NSW,1,63855,2027-04,3,24,Y,Medium,Y
CLI-800119,Corporate,WA,12,261874,2027-07,0,15,N,High,N
CLI-800120,Personal Lines,SA,5,1842,2027-01,0,14,N,Medium,Y
CLI-800121,Personal Lines,WA,7,2563,2027-01,2,4,N,High,N
CLI-800122,Personal Lines,VIC,12,3015,2027-02,4,4,Y,Medium,N
CLI-800123,Personal Lines,WA,12,4127,2027-07,4,7,N,Low,N
CLI-800124,Personal Lines,WA,6,5356,2027-10,4,18,N,High,Y
CLI-800125,SME,QLD,10,44775,2027-06,1,4,Y,Low,N
CLI-800126,Personal Lines,NZ,11,2079,2027-10,2,4,N,Low,N
CLI-800127,Personal Lines,VIC,2,2255,2027-02,3,20,N,High,Y
CLI-800128,SME,QLD,1,44024,2027-04,4,22,N,Medium,N
CLI-800129,SME,NSW,7,43274,2027-03,1,26,N,Medium,N
CLI-800130,Personal Lines,NSW,1,1834,2027-08,3,11,N,Medium,N
CLI-800131,SME,WA,6,18060,2027-12,2,22,N,Medium,Y
CLI-800132,SME,SA,7,22463,2027-06,3,23,Y,High,N
CLI-800133,Personal Lines,QLD,7,6789,2027-02,0,23,N,Medium,Y
CLI-800134,SME,QLD,11,35608,2027-08,0,5,N,Medium,N
CLI-800135,SME,WA,5,20710,2027-12,4,4,N,Low,N
CLI-800136,Corporate,NSW,7,393732,2027-04,4,5,Y,Medium,N
CLI-800137,Corporate,QLD,3,361896,2027-03,2,6,Y,Low,Y
CLI-800138,SME,VIC,3,37560,2027-01,3,10,N,Medium,N
CLI-800139,SME,VIC,1,45283,2027-11,4,8,N,Medium,Y
CLI-800140,SME,QLD,3,17748,2027-06,1,12,N,Medium,N
CLI-800141,SME,SA,4,8052,2027-10,4,18,Y,Low,N
CLI-800142,Personal Lines,NZ,7,5360,2027-04,4,25,N,Low,N
CLI-800143,Personal Lines,QLD,11,5512,2027-10,2,21,N,Medium,N
CLI-800144,Corporate,NSW,5,323734,2027-04,3,16,Y,Low,N
CLI-800145,Corporate,SA,11,158024,2027-04,4,8,Y,Low,N
CLI-800146,Personal Lines,WA,12,4279,2027-07,4,18,N,Medium,N
CLI-800147,Personal Lines,NSW,3,4653,2027-06,4,17,N,Low,N
CLI-800148,SME,NSW,1,41315,2027-01,0,11,N,Low,N
CLI-800149,SME,NZ,5,45589,2027-07,0,22,N,Low,N
CLI-800150,SME,SA,9,10718,2027-02,0,16,N,High,N
CLI-800151,SME,QLD,10,49574,2027-01,0,14,Y,Medium,N
CLI-800152,Corporate,NSW,12,175514,2027-11,0,27,Y,Medium,N
CLI-800153,Corporate,VIC,4,101070,2027-09,0,8,Y,Low,N
CLI-800154,Corporate,WA,1,101313,2027-02,1,13,Y,Low,N
CLI-800155,Corporate,SA,2,111872,2027-03,0,1,Y,High,N
CLI-800156,SME,NSW,2,32498,2027-05,2,17,Y,High,N
CLI-800157,Corporate,VIC,2,75150,2027-02,1,20,Y,High,Y
CLI-800158,Corporate,QLD,1,168389,2027-07,1,10,Y,Medium,N
CLI-800159,Corporate,VIC,6,305074,2027-07,1,12,Y,Low,N
CLI-800160,Corporate,WA,4,305273,2027-11,2,15,Y,High,N
CLI-800161,Corporate,QLD,10,387843,2027-02,0,2,Y,Medium,N
CLI-800162,Personal Lines,NSW,10,2546,2027-05,2,12,N,Medium,N
CLI-800163,SME,VIC,7,41493,2027-08,0,25,N,Low,Y
CLI-800164,Corporate,SA,6,221368,2027-05,3,14,Y,Low,Y
CLI-800165,SME,QLD,3,31634,2027-07,1,11,N,Low,N
CLI-800166,Corporate,NZ,8,187455,2027-11,1,22,Y,High,N
CLI-800167,SME,NSW,11,23426,2027-11,1,22,N,Low,N
CLI-800168,Personal Lines,NZ,3,1215,2027-12,4,9,Y,Medium,N
CLI-800169,Personal Lines,QLD,9,3773,2027-10,3,23,N,Low,N
CLI-800170,Personal Lines,NSW,6,6591,2027-12,1,14,N,Low,N
CLI-800171,SME,VIC,11,36653,2027-04,3,22,Y,Low,N
CLI-800172,Personal Lines,WA,9,4886,2027-01,1,17,Y,Medium,N
CLI-800173,Personal Lines,VIC,10,5233,2027-07,0,3,N,Medium,Y
CLI-800174,Personal Lines,SA,8,2940,2027-06,3,18,N,Low,N
CLI-800175,Corporate,WA,1,114832,2027-02,2,20,Y,Low,N
CLI-800176,SME,SA,7,36783,2027-05,3,17,Y,High,N
CLI-800177,Personal Lines,NZ,2,5684,2027-07,3,3,Y,High,N
CLI-800178,SME,SA,3,19470,2027-12,1,12,N,High,N
CLI-800179,Corporate,NZ,12,175103,2027-10,1,23,Y,Low,N
CLI-800180,Corporate,WA,12,53223,2027-11,0,5,Y,High,N
CLI-800181,SME,NSW,1,29514,2027-11,1,2,N,High,N
CLI-800182,SME,WA,8,41046,2027-05,1,12,N,Medium,N
CLI-800183,Corporate,VIC,1,304070,2027-05,2,9,Y,Medium,N
CLI-800184,Personal Lines,WA,5,5567,2027-12,3,2,N,High,N
CLI-800185,Corporate,VIC,6,305870,2027-01,0,19,N,High,N
CLI-800186,Personal Lines,QLD,3,1706,2027-04,1,11,N,High,Y
CLI-800187,Corporate,VIC,3,305347,2027-11,4,9,Y,Medium,Y
CLI-800188,SME,NZ,9,19466,2027-11,4,10,N,Medium,N
CLI-800189,Corporate,NSW,8,245015,2027-08,3,15,Y,Low,Y
CLI-800190,SME,QLD,3,33166,2027-09,2,14,N,Medium,N
CLI-800191,Corporate,VIC,8,332295,2027-12,3,23,Y,High,N
CLI-800192,Corporate,SA,11,200852,2027-02,2,17,Y,High,Y
CLI-800193,SME,NZ,3,32033,2027-10,4,18,Y,High,N
CLI-800194,Personal Lines,QLD,4,4987,2027-01,0,19,Y,Medium,N
CLI-800195,SME,QLD,9,19117,2027-03,0,9,N,Medium,N
CLI-800196,Corporate,SA,5,391057,2027-06,2,18,Y,Low,Y
CLI-800197,Corporate,QLD,8,414685,2027-04,0,13,Y,Low,Y
CLI-800198,Corporate,VIC,4,162879,2027-12,1,5,Y,High,N
CLI-800199,Personal Lines,NSW,11,1522,2027-09,3,6,N,Low,N
CLI-800200,SME,WA,5,43378,2027-04,1,22,N,Medium,N
CLI-800201,Corporate,VIC,3,309407,2027-08,0,12,Y,Low,N
CLI-800202,SME,SA,2,47266,2027-02,3,23,Y,High,N
CLI-800203,Personal Lines,NSW,12,5494,2027-07,0,5,Y,Low,N
CLI-800204,SME,NZ,9,44749,2027-05,3,2,Y,Medium,N
CLI-800205,SME,QLD,5,19490,2027-01,0,10,N,Low,Y
CLI-800206,Corporate,WA,6,357081,2027-03,2,10,Y,Low,N
CLI-800207,SME,QLD,11,17930,2027-12,0,22,N,Medium,N
CLI-800208,Corporate,WA,9,263062,2027-08,3,6,Y,Medium,N
CLI-800209,Personal Lines,SA,3,2618,2027-05,4,25,N,Low,N
CLI-800210,Personal Lines,QLD,4,6609,2027-12,4,19,Y,Low,N
CLI-800211,Corporate,SA,8,320674,2027-11,3,12,Y,Low,N
CLI-800212,Corporate,VIC,5,360096,2027-10,4,10,Y,Medium,N
CLI-800213,SME,QLD,11,36806,2027-02,3,6,N,Low,N
CLI-800214,SME,WA,7,15290,2027-10,4,12,N,Low,N
CLI-800215,SME,SA,4,33830,2027-09,2,23,N,Low,N
CLI-800216,Personal Lines,NZ,10,2661,2027-08,3,5,Y,Medium,N
CLI-800217,Personal Lines,WA,6,1508,2027-05,1,22,Y,Low,N
CLI-800218,Corporate,SA,6,401031,2027-11,2,12,Y,Low,N
CLI-800219,SME,NSW,12,29313,2027-07,3,13,Y,Medium,N
CLI-800220,SME,WA,9,48499,2027-04,4,20,Y,Low,N
CLI-800221,Corporate,WA,12,360829,2027-07,2,16,N,Medium,N
CLI-800222,SME,NZ,7,6880,2027-09,4,2,N,Low,N
CLI-800223,Personal Lines,NZ,10,2781,2027-09,3,12,N,Medium,N
CLI-800224,Personal Lines,NSW,8,2532,2027-07,1,14,N,Medium,N
CLI-800225,Personal Lines,VIC,8,929,2027-04,2,21,N,Low,Y
CLI-800226,Corporate,WA,4,162258,2027-08,1,23,Y,High,N
CLI-800227,Corporate,NSW,7,337835,2027-08,2,11,Y,Medium,Y
CLI-800228,SME,NZ,3,23600,2027-10,1,17,N,Low,N
CLI-800229,SME,SA,9,20624,2027-03,1,14,Y,Medium,Y
CLI-800230,Personal Lines,VIC,12,3788,2027-07,2,11,N,Medium,N
CLI-800231,SME,SA,1,21219,2027-08,0,21,N,Medium,N
CLI-800232,Personal Lines,VIC,3,3274,2027-04,4,26,N,High,N
CLI-800233,SME,NZ,11,18478,2027-02,0,17,N,High,Y
CLI-800234,Corporate,QLD,11,192583,2027-07,0,3,Y,Medium,N
CLI-800235,Corporate,WA,11,380036,2027-06,1,19,Y,High,N
CLI-800236,SME,NZ,5,20045,2027-05,0,16,N,Medium,N
CLI-800237,Corporate,WA,1,313589,2027-06,2,13,Y,Medium,N
CLI-800238,Corporate,NZ,2,245327,2027-07,0,13,Y,Medium,N
CLI-800239,Corporate,NZ,8,175155,2027-05,4,22,Y,Medium,N
CLI-800240,SME,VIC,4,31835,2027-06,1,16,Y,Medium,N
CLI-800241,Personal Lines,WA,6,5880,2027-11,2,13,N,Low,N
CLI-800242,Personal Lines,WA,3,4732,2027-11,2,23,N,Medium,N
CLI-800243,SME,NZ,11,26390,2027-01,2,24,N,Low,Y
CLI-800244,SME,VIC,5,52329,2027-09,2,15,N,Low,N
CLI-800245,Corporate,NSW,1,293689,2027-04,2,17,Y,Low,N
CLI-800246,Corporate,SA,5,405472,2027-12,1,15,Y,Medium,N
CLI-800247,Corporate,WA,4,169293,2027-05,4,21,Y,Medium,N
CLI-800248,SME,WA,12,25720,2027-06,1,27,N,Low,N
CLI-800249,Personal Lines,WA,6,2515,2027-10,4,11,N,Low,N
CLI-800250,Personal Lines,VIC,4,1641,2027-07,2,26,N,Medium,N
CLI-800251,Personal Lines,VIC,8,3974,2027-05,4,14,N,Low,N
CLI-800252,SME,QLD,2,43106,2027-07,2,8,N,Medium,N
CLI-800253,SME,VIC,12,49802,2027-07,4,10,N,Low,N
CLI-800254,Personal Lines,VIC,10,845,2027-03,0,19,Y,Low,N
CLI-800255,SME,NSW,12,9256,2027-03,2,21,Y,Low,N
CLI-800256,Personal Lines,VIC,4,5612,2027-09,4,5,Y,High,N
CLI-800257,Personal Lines,WA,1,2587,2027-09,3,2,N,Low,N
CLI-800258,Corporate,VIC,1,314332,2027-04,3,18,N,Low,Y
CLI-800259,Corporate,NZ,2,221468,2027-09,2,17,Y,Medium,N
CLI-800260,Personal Lines,QLD,4,2836,2027-04,2,24,N,High,N
CLI-800261,Corporate,SA,11,200053,2027-07,2,21,Y,High,N
CLI-800262,Corporate,NSW,6,178483,2027-09,3,22,N,Medium,N
CLI-800263,Corporate,NSW,10,337185,2027-03,0,15,Y,Low,Y
CLI-800264,SME,QLD,1,22076,2027-02,1,17,N,Medium,N
CLI-800265,Corporate,SA,1,255318,2027-06,0,11,Y,Low,N
CLI-800266,Personal Lines,WA,4,1378,2027-03,1,3,Y,Medium,N
CLI-800267,Corporate,NSW,6,168533,2027-12,0,7,Y,Low,N
CLI-800268,SME,SA,3,20049,2027-10,1,20,N,High,N
CLI-800269,SME,QLD,9,16860,2027-05,0,15,N,Low,N
CLI-800270,Corporate,WA,4,210905,2027-11,4,8,Y,Medium,N
CLI-800271,Personal Lines,SA,11,5529,2027-01,3,5,N,Low,N
CLI-800272,Corporate,NZ,3,342361,2027-06,3,9,Y,Medium,Y
CLI-800273,Personal Lines,QLD,8,3819,2027-01,2,9,N,High,N
CLI-800274,Corporate,SA,7,223714,2027-04,2,4,N,Low,Y
CLI-800275,SME,WA,12,21315,2027-02,1,16,Y,High,N
CLI-800276,SME,SA,8,50424,2027-02,0,23,Y,Low,N
CLI-800277,Personal Lines,VIC,11,2142,2027-11,2,4,Y,Low,Y
CLI-800278,Personal Lines,NZ,12,1523,2027-01,1,21,N,Low,Y
CLI-800279,Corporate,QLD,4,228076,2027-05,4,2,Y,Low,N
CLI-800280,Personal Lines,NZ,5,5064,2027-08,3,25,N,High,N
CLI-800281,Corporate,SA,7,165324,2027-12,2,20,Y,Medium,N
CLI-800282,SME,WA,3,26771,2027-01,4,12,N,High,N
CLI-800283,Corporate,SA,4,203310,2027-01,0,27,Y,High,N
CLI-800284,Personal Lines,QLD,8,5633,2027-07,0,10,N,Low,Y
CLI-800285,SME,SA,10,22190,2027-09,3,6,N,Low,N
CLI-800286,Corporate,NSW,12,330880,2027-03,1,11,Y,High,N
CLI-800287,SME,WA,6,18180,2027-03,4,23,N,Low,N
CLI-800288,Corporate,QLD,1,79280,2027-08,3,7,Y,Medium,N
CLI-800289,SME,WA,7,18380,2027-05,1,2,N,Low,Y
CLI-800290,Corporate,NSW,8,274781,2027-02,2,6,Y,Low,N
CLI-800291,Personal Lines,QLD,9,4832,2027-11,1,16,N,Medium,N
CLI-800292,Personal Lines,QLD,7,3140,2027-06,1,24,Y,Medium,N
CLI-800293,Personal Lines,NSW,10,1285,2027-04,0,10,N,High,Y
CLI-800294,SME,SA,10,33676,2027-12,4,18,N,Low,N
CLI-800295,Personal Lines,QLD,7,2998,2027-10,3,22,Y,Medium,N
CLI-800296,Personal Lines,NSW,2,5065,2027-04,3,18,Y,High,N
CLI-800297,SME,QLD,10,32532,2027-04,1,25,N,High,N
CLI-800298,Personal Lines,VIC,2,2677,2027-03,2,5,Y,Low,N
CLI-800299,Personal Lines,NSW,6,3111,2027-04,4,11,N,High,N
CLI-800300,SME,WA,3,53248,2027-09,1,11,N,High,N
CLI-800301,Personal Lines,NSW,5,5133,2027-05,2,16,N,High,N
CLI-800302,Personal Lines,NSW,4,2597,2027-07,2,10,N,Low,N
CLI-800303,Personal Lines,QLD,4,6799,2027-12,2,12,N,Medium,N
CLI-800304,SME,VIC,3,10175,2027-12,4,5,Y,Low,N
CLI-800305,Corporate,SA,1,87324,2027-04,4,20,Y,Low,N
CLI-800306,Corporate,SA,12,349798,2027-03,4,7,Y,Low,N
CLI-800307,Corporate,VIC,2,116677,2027-12,3,18,Y,Low,N
CLI-800308,Corporate,SA,9,161857,2027-06,1,16,Y,High,N
CLI-800309,Corporate,NZ,9,382318,2027-10,1,12,Y,Medium,Y
CLI-800310,Personal Lines,NZ,2,4760,2027-12,2,6,N,Medium,N
CLI-800311,SME,WA,11,17809,2027-01,3,25,Y,Medium,N
CLI-800312,Personal Lines,QLD,5,3456,2027-09,1,8,N,High,N
CLI-800313,SME,VIC,3,15257,2027-04,1,5,N,Low,N
CLI-800314,Corporate,NZ,9,245622,2027-12,4,2,Y,High,N
CLI-800315,SME,QLD,6,19017,2027-11,3,17,N,Medium,N
CLI-800316,Personal Lines,NZ,9,4509,2027-02,4,23,N,Low,N
CLI-800317,SME,VIC,2,11611,2027-09,4,8,Y,Medium,N
CLI-800318,SME,QLD,5,39664,2027-02,3,5,N,Low,Y
CLI-800319,Personal Lines,NSW,10,5018,2027-08,2,8,N,Low,Y
CLI-800320,Corporate,QLD,5,183720,2027-09,2,4,Y,Low,N
CLI-800321,SME,SA,10,42095,2027-01,0,27,N,Low,N
CLI-800322,SME,QLD,7,20046,2027-02,4,9,N,Medium,N
CLI-800323,Personal Lines,WA,12,5677,2027-09,2,1,N,Low,N
CLI-800324,SME,SA,4,23910,2027-01,4,4,N,Low,Y
CLI-800325,Corporate,VIC,10,227980,2027-01,4,14,Y,Medium,N
CLI-800326,Corporate,VIC,5,208609,2027-03,2,26,Y,High,N
CLI-800327,SME,QLD,12,14642,2027-10,0,13,N,High,Y
CLI-800328,SME,NSW,5,43072,2027-10,2,3,N,Low,N
CLI-800329,Corporate,NSW,1,410856,2027-12,2,4,Y,Medium,N
CLI-800330,SME,SA,10,36002,2027-02,4,3,N,Low,N
CLI-800331,SME,NZ,1,40857,2027-08,2,15,N,Low,N
CLI-800332,Personal Lines,WA,9,5828,2027-11,2,21,N,Low,Y
CLI-800333,Corporate,NZ,6,364888,2027-06,4,8,N,High,Y
CLI-800334,SME,VIC,5,48557,2027-11,2,24,N,Low,N
CLI-800335,SME,SA,4,19833,2027-08,2,15,Y,Low,N
CLI-800336,Corporate,NZ,8,406000,2027-06,1,2,Y,Low,N
CLI-800337,Corporate,WA,9,400433,2027-09,2,9,Y,Low,Y
CLI-800338,Personal Lines,WA,2,6746,2027-04,0,19,N,Medium,N
CLI-800339,Corporate,QLD,1,88409,2027-08,4,13,N,Low,Y
CLI-800340,SME,QLD,5,50258,2027-09,4,17,N,Medium,N
