MemberRef,Segment,State,InvestmentOption,BalanceAUD,AnnualContributionAUD,InsuranceCover,EngagementLevel,SwitchedLast12m,AdviserLinked,ContactsLast12m
MBR-500001,Pre-retirement 60-64,QLD,Conservative,320015,18004,Y,Low,N,N,9
MBR-500002,Accumulation <35,NZ,Cash,84720,6812,Y,High,N,N,7
MBR-500003,Accumulation 35-49,VIC,Conservative,378995,36045,Y,Low,N,N,4
MBR-500004,Accumulation 50-59,SA,Sustainable,584735,14288,N,High,N,N,0
MBR-500005,Pre-retirement 60-64,VIC,Conservative,958331,80539,Y,Medium,N,N,2
MBR-500006,Pre-retirement 60-64,WA,MySuper Balanced,329529,20386,Y,Low,N,N,2
MBR-500007,Accumulation 50-59,VIC,Cash,508143,51414,Y,Low,N,N,0
MBR-500008,Pension 65+,TAS,Indexed Shares,300072,0,N,High,N,N,5
MBR-500009,Accumulation <35,QLD,MySuper Balanced,49062,4077,N,Low,Y,N,6
MBR-500010,Accumulation <35,NSW,Growth,92737,3760,Y,Medium,N,N,5
MBR-500011,Pension 65+,TAS,MySuper Balanced,1099782,0,N,Medium,N,N,3
MBR-500012,Accumulation <35,VIC,Cash,91397,6291,Y,High,N,N,9
MBR-500013,Pre-retirement 60-64,NZ,Sustainable,1143844,35584,Y,Low,N,N,4
MBR-500014,Accumulation <35,NSW,Cash,32719,863,Y,Low,N,N,7
MBR-500015,Accumulation 50-59,QLD,Conservative,263410,16229,Y,Low,N,Y,3
MBR-500016,Accumulation <35,VIC,Indexed Shares,70682,2447,Y,High,Y,N,5
MBR-500017,Accumulation <35,NZ,Indexed Shares,48888,4438,Y,Low,N,N,6
MBR-500018,Accumulation <35,VIC,Cash,64219,5460,Y,Medium,N,N,9
MBR-500019,Accumulation 50-59,NZ,Indexed Shares,340448,28474,N,Medium,N,N,0
MBR-500020,Accumulation 35-49,TAS,Growth,286728,19962,Y,Low,N,Y,7
MBR-500021,Accumulation 35-49,SA,Cash,183100,6194,Y,High,N,N,2
MBR-500022,Accumulation 35-49,QLD,Sustainable,92357,5842,Y,Low,N,N,2
MBR-500023,Pension 65+,SA,Indexed Shares,1052856,0,Y,Low,N,N,8
MBR-500024,Accumulation 35-49,SA,Sustainable,90590,3494,Y,Low,N,N,1
MBR-500025,Accumulation 50-59,SA,Cash,670043,53648,N,Medium,N,N,1
MBR-500026,Accumulation <35,NSW,Cash,14344,1183,Y,Low,N,N,8
MBR-500027,Accumulation 35-49,SA,Conservative,55257,3956,Y,High,N,Y,9
MBR-500028,Pension 65+,TAS,MySuper Balanced,1324204,0,N,Medium,N,Y,9
MBR-500029,Accumulation 50-59,QLD,Sustainable,779366,62945,Y,Medium,N,Y,2
MBR-500030,Pension 65+,VIC,Sustainable,1330582,0,Y,High,N,N,2
MBR-500031,Accumulation <35,QLD,Cash,23736,2318,Y,Low,N,N,8
MBR-500032,Pension 65+,TAS,Indexed Shares,1057810,0,N,Medium,N,N,5
MBR-500033,Accumulation 50-59,VIC,Cash,442000,31806,Y,Low,Y,Y,5
MBR-500034,Accumulation 50-59,SA,Sustainable,410886,10078,Y,High,N,Y,3
MBR-500035,Pension 65+,VIC,Conservative,880607,0,Y,High,N,Y,5
MBR-500036,Accumulation 50-59,SA,Indexed Shares,547883,16503,Y,Medium,N,Y,7
MBR-500037,Accumulation 35-49,QLD,Growth,351284,37186,Y,Medium,N,N,0
MBR-500038,Pre-retirement 60-64,SA,Conservative,883986,92950,N,Low,N,N,9
MBR-500039,Pre-retirement 60-64,NSW,Indexed Shares,1153548,118578,Y,Low,N,N,6
MBR-500040,Accumulation 35-49,NSW,Indexed Shares,373960,27961,Y,Medium,N,N,9
MBR-500041,Accumulation 50-59,QLD,Conservative,768810,19560,Y,High,N,N,6
MBR-500042,Accumulation 50-59,TAS,MySuper Balanced,164186,11814,Y,High,N,N,0
MBR-500043,Accumulation 50-59,SA,Growth,539259,42469,N,Medium,N,N,6
MBR-500044,Accumulation <35,NSW,Sustainable,13760,465,Y,Low,N,N,8
MBR-500045,Pre-retirement 60-64,TAS,Conservative,243696,13932,N,Medium,N,Y,9
MBR-500046,Accumulation <35,NSW,Conservative,23210,2334,Y,High,N,N,1
MBR-500047,Pre-retirement 60-64,NSW,Growth,1132046,35554,N,Medium,N,Y,6
MBR-500048,Accumulation 50-59,VIC,Sustainable,342883,9529,Y,Medium,N,Y,6
MBR-500049,Pre-retirement 60-64,QLD,Sustainable,221606,20433,Y,Medium,N,N,6
MBR-500050,Accumulation 35-49,TAS,Cash,362122,16093,Y,Low,N,N,1
MBR-500051,Accumulation 50-59,TAS,Growth,761271,41967,N,High,N,N,4
MBR-500052,Pension 65+,NZ,MySuper Balanced,588876,0,Y,Medium,N,N,0
MBR-500053,Accumulation 50-59,WA,Indexed Shares,190186,3954,N,Low,N,Y,5
MBR-500054,Accumulation 35-49,SA,Cash,130676,11661,Y,Medium,N,N,7
MBR-500055,Pre-retirement 60-64,QLD,Sustainable,557848,25605,Y,Low,N,Y,9
MBR-500056,Pension 65+,WA,Sustainable,753498,0,Y,Medium,N,Y,0
MBR-500057,Accumulation 50-59,NSW,Cash,173514,10379,Y,Low,N,N,6
MBR-500058,Pension 65+,TAS,Indexed Shares,1184803,0,Y,Low,N,N,6
MBR-500059,Pre-retirement 60-64,VIC,Growth,1045876,111773,Y,Medium,N,N,7
MBR-500060,Pre-retirement 60-64,TAS,MySuper Balanced,446693,41040,N,Medium,N,N,7
MBR-500061,Accumulation <35,VIC,Sustainable,66934,3502,N,High,N,N,7
MBR-500062,Accumulation 35-49,VIC,Growth,270586,15047,Y,Medium,N,N,2
MBR-500063,Accumulation 35-49,VIC,Growth,184548,18936,Y,High,N,N,9
MBR-500064,Pre-retirement 60-64,WA,Conservative,1186357,64994,Y,Medium,N,Y,3
MBR-500065,Pension 65+,VIC,Conservative,1144758,0,Y,High,N,N,6
MBR-500066,Accumulation 50-59,NSW,MySuper Balanced,555695,49050,Y,Low,N,N,1
MBR-500067,Accumulation <35,SA,Indexed Shares,69417,3736,Y,Medium,N,N,5
MBR-500068,Accumulation 50-59,NZ,Growth,308165,24446,Y,High,N,N,6
MBR-500069,Accumulation <35,VIC,Sustainable,53765,1274,Y,Low,N,N,6
MBR-500070,Accumulation 35-49,NSW,Indexed Shares,209799,21232,Y,Low,N,N,7
MBR-500071,Accumulation 35-49,NSW,Conservative,133011,6462,Y,Medium,N,N,6
MBR-500072,Pension 65+,TAS,Growth,1151658,0,N,High,N,N,8
MBR-500073,Accumulation 50-59,VIC,Cash,156204,4885,Y,Low,N,N,4
MBR-500074,Accumulation 50-59,TAS,Cash,689040,53811,Y,Medium,N,N,4
MBR-500075,Accumulation 50-59,TAS,Cash,509991,13894,Y,Medium,N,Y,9
MBR-500076,Pension 65+,VIC,Indexed Shares,612587,0,Y,Medium,N,N,9
MBR-500077,Pre-retirement 60-64,NSW,Growth,718210,42035,Y,Low,N,N,4
MBR-500078,Accumulation <35,TAS,Indexed Shares,91527,3045,Y,Low,N,N,4
MBR-500079,Accumulation 35-49,NZ,Sustainable,85778,8629,Y,Low,N,N,0
MBR-500080,Pension 65+,NSW,Growth,370085,0,Y,Low,Y,Y,0
MBR-500081,Accumulation 35-49,TAS,Growth,357618,11742,Y,Medium,N,N,5
MBR-500082,Pension 65+,NSW,Cash,249491,0,Y,High,N,N,9
MBR-500083,Accumulation 50-59,VIC,Growth,459630,39083,Y,High,N,N,2
MBR-500084,Pension 65+,TAS,MySuper Balanced,467673,0,N,Medium,N,N,6
MBR-500085,Accumulation 35-49,SA,Sustainable,136709,8943,Y,Low,Y,N,2
MBR-500086,Accumulation <35,WA,Conservative,16309,856,Y,High,N,Y,4
MBR-500087,Accumulation 50-59,NZ,MySuper Balanced,679419,58822,Y,Low,N,N,1
MBR-500088,Accumulation 35-49,QLD,Indexed Shares,96459,4633,N,Medium,N,N,3
MBR-500089,Pension 65+,QLD,Cash,851175,0,Y,Medium,N,N,7
MBR-500090,Pension 65+,NSW,Conservative,965295,0,Y,High,N,N,5
MBR-500091,Accumulation 35-49,TAS,Sustainable,306969,7289,Y,Low,N,N,6
MBR-500092,Accumulation <35,QLD,MySuper Balanced,58361,2598,Y,Low,N,Y,1
MBR-500093,Pre-retirement 60-64,WA,Indexed Shares,1133863,32004,N,Medium,Y,N,9
MBR-500094,Accumulation 35-49,QLD,Indexed Shares,96417,7227,N,Medium,N,N,2
MBR-500095,Pre-retirement 60-64,SA,Conservative,618452,32116,N,High,N,Y,1
MBR-500096,Accumulation 50-59,TAS,Cash,569784,13741,Y,Medium,N,N,9
MBR-500097,Accumulation 50-59,WA,Growth,652218,65995,N,High,N,Y,8
MBR-500098,Accumulation 50-59,NSW,MySuper Balanced,441290,28895,Y,Medium,Y,N,6
MBR-500099,Pension 65+,NSW,Conservative,361829,0,Y,Medium,N,N,3
MBR-500100,Accumulation 50-59,NSW,Sustainable,109615,4126,Y,Medium,Y,Y,0
MBR-500101,Accumulation 50-59,NZ,Indexed Shares,528346,44633,Y,Low,N,N,0
MBR-500102,Accumulation 50-59,NSW,Growth,656790,53656,Y,Low,N,N,4
MBR-500103,Accumulation 50-59,SA,Sustainable,585738,43723,Y,Medium,N,N,7
MBR-500104,Pension 65+,TAS,MySuper Balanced,992745,0,N,Medium,N,N,5
MBR-500105,Pre-retirement 60-64,NSW,Sustainable,193524,14079,N,Low,N,N,3
MBR-500106,Pre-retirement 60-64,NZ,MySuper Balanced,798681,35781,N,Medium,N,N,3
MBR-500107,Accumulation <35,QLD,Indexed Shares,62564,6629,N,Medium,Y,Y,9
MBR-500108,Pension 65+,SA,Conservative,1413218,0,Y,Medium,N,N,5
MBR-500109,Accumulation <35,QLD,Indexed Shares,98116,10013,Y,Low,N,N,6
MBR-500110,Accumulation 50-59,SA,Cash,636108,60436,N,Low,N,N,9
MBR-500111,Accumulation 50-59,NSW,Cash,211743,17465,N,High,N,Y,0
MBR-500112,Accumulation <35,QLD,MySuper Balanced,79609,7229,Y,Medium,N,N,3
MBR-500113,Pension 65+,QLD,MySuper Balanced,192280,0,Y,Low,N,N,9
MBR-500114,Accumulation <35,TAS,Sustainable,65687,3015,Y,High,N,N,0
MBR-500115,Accumulation 35-49,QLD,Growth,317531,11391,Y,Low,N,N,9
MBR-500116,Pension 65+,WA,Cash,1194820,0,Y,High,Y,N,5
MBR-500117,Accumulation <35,TAS,Sustainable,29363,2079,Y,High,N,Y,2
MBR-500118,Accumulation <35,VIC,Cash,50868,1382,Y,Medium,N,N,7
MBR-500119,Accumulation 35-49,VIC,Growth,210024,15374,N,Low,N,Y,4
MBR-500120,Pension 65+,NSW,Cash,415731,0,Y,High,N,N,4
MBR-500121,Pre-retirement 60-64,NSW,Conservative,1101631,43741,Y,High,N,N,1
MBR-500122,Pre-retirement 60-64,QLD,Growth,164848,10448,Y,Medium,N,N,3
MBR-500123,Accumulation 35-49,TAS,Conservative,159493,11902,N,Low,N,N,1
MBR-500124,Accumulation <35,QLD,Growth,21468,1690,Y,High,N,N,6
MBR-500125,Pre-retirement 60-64,VIC,Conservative,276058,19632,Y,High,N,Y,5
MBR-500126,Pension 65+,NSW,Sustainable,542335,0,Y,Medium,N,N,4
MBR-500127,Accumulation <35,NSW,Indexed Shares,70782,6812,Y,Medium,N,Y,2
MBR-500128,Accumulation <35,NSW,Indexed Shares,70406,6541,Y,High,N,N,3
MBR-500129,Pre-retirement 60-64,TAS,Growth,803365,21180,Y,Medium,N,Y,1
MBR-500130,Pension 65+,VIC,Indexed Shares,1005376,0,Y,High,N,N,7
MBR-500131,Accumulation <35,NSW,Conservative,89725,4781,N,Low,N,Y,4
MBR-500132,Pre-retirement 60-64,SA,Cash,1103965,67043,Y,Low,N,N,9
MBR-500133,Pre-retirement 60-64,NZ,Conservative,232412,18197,Y,Low,N,N,5
MBR-500134,Pre-retirement 60-64,WA,Conservative,784835,18126,Y,Low,N,N,4
MBR-500135,Accumulation 50-59,VIC,Cash,511849,37138,Y,Medium,N,N,9
MBR-500136,Accumulation 35-49,QLD,Indexed Shares,209841,12135,Y,High,N,N,9
MBR-500137,Accumulation 50-59,WA,Sustainable,677084,43334,N,High,N,N,7
MBR-500138,Accumulation 35-49,SA,Cash,101887,6837,N,Low,N,N,8
MBR-500139,Pension 65+,NSW,Indexed Shares,1342219,0,Y,Medium,N,N,3
MBR-500140,Accumulation <35,WA,Conservative,48919,4386,Y,Low,N,N,6
MBR-500141,Pension 65+,NZ,Cash,601040,0,Y,Low,N,N,1
MBR-500142,Accumulation 50-59,SA,Growth,525623,54357,Y,Low,N,N,6
MBR-500143,Accumulation 35-49,SA,Sustainable,226737,23822,N,Low,N,Y,6
MBR-500144,Accumulation 35-49,NZ,Sustainable,314054,19466,Y,Low,N,N,2
MBR-500145,Accumulation 35-49,WA,MySuper Balanced,97932,5140,Y,Medium,N,Y,9
MBR-500146,Accumulation <35,SA,Cash,32821,2762,Y,Low,N,N,3
MBR-500147,Pension 65+,QLD,Sustainable,870841,0,Y,Medium,N,N,5
MBR-500148,Accumulation 50-59,SA,Cash,271039,8613,Y,Low,N,N,7
MBR-500149,Accumulation 50-59,NSW,Growth,564360,52566,Y,Medium,N,N,2
MBR-500150,Accumulation <35,QLD,Conservative,35991,1918,Y,Medium,N,N,2
MBR-500151,Pension 65+,TAS,Cash,1140010,0,Y,Low,N,N,1
MBR-500152,Pension 65+,QLD,Cash,648337,0,Y,Low,N,Y,7
MBR-500153,Accumulation <35,TAS,Cash,94413,2340,N,Medium,N,N,7
MBR-500154,Accumulation 50-59,VIC,MySuper Balanced,318983,22912,Y,Medium,N,Y,5
MBR-500155,Pre-retirement 60-64,TAS,Growth,1171998,88794,Y,Medium,N,N,4
MBR-500156,Pre-retirement 60-64,NSW,Growth,215012,21200,Y,Medium,N,Y,1
MBR-500157,Pre-retirement 60-64,NZ,MySuper Balanced,1114280,42663,Y,Medium,N,Y,6
MBR-500158,Accumulation 35-49,QLD,Growth,70850,2332,Y,High,N,N,9
MBR-500159,Accumulation 35-49,SA,Sustainable,288145,9733,N,Low,N,Y,9
MBR-500160,Accumulation <35,VIC,Sustainable,59332,3014,N,Low,N,N,1
MBR-500161,Pre-retirement 60-64,SA,MySuper Balanced,397899,34688,Y,Medium,N,N,2
MBR-500162,Accumulation 50-59,QLD,Sustainable,125169,11099,N,Low,N,N,1
MBR-500163,Pre-retirement 60-64,VIC,Indexed Shares,1026624,36623,N,Medium,N,N,5
MBR-500164,Accumulation <35,VIC,MySuper Balanced,33780,2318,N,High,N,N,4
MBR-500165,Accumulation 35-49,SA,Growth,147782,10096,Y,Low,N,N,4
MBR-500166,Accumulation 35-49,VIC,Conservative,66325,4862,Y,Low,Y,N,2
MBR-500167,Pension 65+,QLD,Indexed Shares,712288,0,Y,Low,N,N,5
MBR-500168,Accumulation <35,VIC,Conservative,88547,2473,Y,Medium,N,Y,0
MBR-500169,Pre-retirement 60-64,WA,MySuper Balanced,702656,22384,Y,High,Y,N,0
MBR-500170,Pension 65+,QLD,Conservative,776570,0,N,High,N,Y,8
MBR-500171,Pension 65+,SA,Conservative,402549,0,Y,Medium,N,Y,3
MBR-500172,Accumulation <35,QLD,Indexed Shares,19836,1682,Y,Low,N,Y,8
MBR-500173,Pre-retirement 60-64,NZ,Growth,805093,82277,N,Medium,N,N,3
MBR-500174,Accumulation <35,SA,Cash,71417,5454,Y,High,Y,Y,9
MBR-500175,Accumulation 50-59,TAS,Cash,407933,19579,Y,High,N,Y,5
MBR-500176,Pre-retirement 60-64,SA,Indexed Shares,737771,21862,Y,Medium,N,N,9
MBR-500177,Pension 65+,VIC,Growth,488818,0,Y,Medium,N,N,3
MBR-500178,Pension 65+,NSW,MySuper Balanced,710188,0,Y,Medium,N,N,6
MBR-500179,Accumulation 50-59,QLD,Cash,761247,74167,Y,High,Y,N,7
MBR-500180,Accumulation 50-59,WA,MySuper Balanced,721126,35157,Y,Low,N,Y,1
MBR-500181,Pension 65+,NZ,Sustainable,1220275,0,N,Low,N,Y,9
MBR-500182,Pre-retirement 60-64,QLD,Growth,782247,68416,Y,Low,N,Y,8
MBR-500183,Pre-retirement 60-64,VIC,Cash,1134352,29536,N,Medium,N,Y,1
MBR-500184,Accumulation 50-59,NZ,Cash,653642,54368,Y,Medium,N,N,8
MBR-500185,Pension 65+,WA,Sustainable,487554,0,Y,Low,N,N,1
MBR-500186,Accumulation <35,NSW,Sustainable,26653,664,Y,Medium,N,N,8
MBR-500187,Accumulation <35,QLD,Cash,42182,4615,Y,Low,Y,Y,1
MBR-500188,Pre-retirement 60-64,VIC,Sustainable,838460,63156,Y,High,N,N,8
MBR-500189,Accumulation 35-49,VIC,Conservative,331457,16721,Y,Medium,N,Y,6
MBR-500190,Accumulation 50-59,VIC,Indexed Shares,285763,17936,Y,Low,N,N,9
MBR-500191,Accumulation 35-49,TAS,MySuper Balanced,377854,9728,N,Low,N,Y,2
MBR-500192,Accumulation <35,TAS,Indexed Shares,30003,697,Y,Medium,Y,N,5
MBR-500193,Accumulation 50-59,QLD,Conservative,378080,26186,N,Low,N,N,0
MBR-500194,Pre-retirement 60-64,NSW,Cash,417881,21226,Y,Medium,N,N,7
