CaseID,LodgedMonth,CaseType,Region,Channel,Status,DaysOpen,ExposureAUD,DocumentCount,MissingEvidence,ReviewFlag
CSE-200001,2026-04,Financial crime review,QLD,Branch,Resolved,97,821161,18,Transaction detail,Y
CSE-200002,2026-08,Hardship request,NSW,Branch,Open,223,824497,5,Income evidence,Y
CSE-200003,2026-07,Complaint,QLD,Branch,Awaiting Evidence,64,864203,7,Income evidence,N
CSE-200004,2026-11,Complaint,VIC,Online,Resolved,85,521241,17,Transaction detail,N
CSE-200005,2026-01,Loan application,WA,Branch,Resolved,12,826495,4,None,N
CSE-200006,2026-07,Payment dispute,VIC,Broker,Awaiting Evidence,215,423785,7,Statement of position,Y
CSE-200007,2026-12,Payment dispute,QLD,Phone,Resolved,3,98069,2,Identity documents,N
CSE-200008,2026-12,Loan application,QLD,Online,Reopened,95,695412,5,None,N
CSE-200009,2026-09,Loan application,NZ,Phone,Declined,159,415681,17,Identity documents,N
CSE-200010,2026-02,Loan application,QLD,Broker,Resolved,153,111741,6,None,N
CSE-200011,2026-09,Payment dispute,SA,Online,Resolved,16,389066,10,Income evidence,N
CSE-200012,2026-04,Complaint,VIC,Broker,Awaiting Evidence,155,666725,18,None,N
CSE-200013,2026-03,Loan application,SA,Broker,Open,59,42408,11,None,N
CSE-200014,2026-06,Loan application,NSW,Broker,Open,5,296811,3,None,N
CSE-200015,2026-01,Loan application,NSW,Online,Resolved,184,592749,5,Transaction detail,N
CSE-200016,2026-06,Financial crime review,NZ,Online,Resolved,29,693414,16,Identity documents,N
CSE-200017,2026-11,Financial crime review,NZ,Online,Resolved,142,493692,10,None,N
CSE-200018,2026-10,Hardship request,NZ,Broker,Open,72,404488,17,Authority to act,N
CSE-200019,2026-02,Loan application,SA,Branch,Resolved,7,876320,12,None,N
CSE-200020,2026-09,Hardship request,NSW,Phone,Open,194,104181,7,Transaction detail,N
CSE-200021,2026-03,Hardship request,SA,Online,Open,144,246735,3,Identity documents,N
CSE-200022,2026-02,Hardship request,QLD,Broker,Resolved,112,446733,18,Identity documents,N
CSE-200023,2026-11,Financial crime review,WA,Branch,Resolved,240,178014,6,Identity documents,N
CSE-200024,2026-04,Hardship request,NSW,Online,Assessing,14,241383,11,None,N
CSE-200025,2026-08,Hardship request,VIC,Broker,Resolved,33,700609,7,Transaction detail,N
CSE-200026,2026-12,Hardship request,NZ,Broker,Resolved,12,452766,8,None,N
CSE-200027,2026-05,Complaint,NZ,Online,Awaiting Evidence,7,447227,7,None,N
CSE-200028,2026-06,Loan application,QLD,Broker,Awaiting Evidence,70,664628,19,None,N
CSE-200029,2026-07,Payment dispute,NSW,Broker,Resolved,46,712781,10,None,Y
CSE-200030,2026-02,Loan application,VIC,Phone,Assessing,20,778821,4,None,N
CSE-200031,2026-05,Payment dispute,SA,Branch,Assessing,121,558942,12,None,N
CSE-200032,2026-11,Complaint,WA,Broker,Resolved,17,359048,3,None,N
CSE-200033,2026-07,Payment dispute,QLD,Branch,Awaiting Evidence,131,654432,17,Income evidence,N
CSE-200034,2026-01,Financial crime review,VIC,Broker,Assessing,64,821794,16,Transaction detail,Y
CSE-200035,2026-12,Payment dispute,WA,Online,Open,60,404795,12,Identity documents,N
CSE-200036,2026-12,Hardship request,SA,Branch,Open,132,101174,7,Income evidence,N
CSE-200037,2026-04,Loan application,NZ,Branch,Assessing,83,425176,3,None,N
CSE-200038,2026-08,Payment dispute,NSW,Branch,Assessing,112,415991,5,None,Y
CSE-200039,2026-06,Complaint,QLD,Broker,Declined,45,634262,6,Statement of position,N
CSE-200040,2026-04,Financial crime review,NSW,Phone,Awaiting Evidence,112,729477,18,None,N
CSE-200041,2026-09,Payment dispute,NSW,Branch,Resolved,63,186959,17,Transaction detail,N
CSE-200042,2026-06,Complaint,NSW,Branch,Open,177,170399,13,Income evidence,N
CSE-200043,2026-01,Hardship request,NZ,Branch,Awaiting Evidence,22,701742,19,None,N
CSE-200044,2026-02,Hardship request,SA,Broker,Awaiting Evidence,94,432739,11,None,N
CSE-200045,2026-06,Complaint,VIC,Online,Resolved,79,79564,2,None,N
CSE-200046,2026-03,Loan application,VIC,Branch,Resolved,166,768359,9,Income evidence,N
CSE-200047,2026-05,Loan application,VIC,Online,Assessing,62,539315,11,None,N
CSE-200048,2026-03,Hardship request,QLD,Broker,Assessing,102,130655,8,None,N
CSE-200049,2026-10,Financial crime review,WA,Broker,Declined,2,494261,8,None,N
CSE-200050,2026-06,Loan application,QLD,Online,Open,152,228444,11,Statement of position,N
CSE-200051,2026-10,Payment dispute,NZ,Branch,Assessing,109,442687,19,None,N
CSE-200052,2026-06,Hardship request,NZ,Branch,Awaiting Evidence,159,391036,19,None,N
CSE-200053,2026-06,Financial crime review,WA,Phone,Open,138,638130,2,Statement of position,N
CSE-200054,2026-08,Loan application,NSW,Phone,Assessing,6,433077,11,Income evidence,N
CSE-200055,2026-05,Financial crime review,NSW,Online,Resolved,20,497824,5,Income evidence,Y
CSE-200056,2026-09,Complaint,VIC,Branch,Declined,232,386464,5,Statement of position,N
CSE-200057,2026-10,Hardship request,SA,Broker,Open,141,253903,13,None,N
CSE-200058,2026-10,Complaint,WA,Phone,Open,29,467747,14,Income evidence,N
CSE-200059,2026-09,Loan application,SA,Branch,Resolved,62,848168,7,Authority to act,N
CSE-200060,2026-12,Payment dispute,VIC,Broker,Awaiting Evidence,48,501843,15,None,N
CSE-200061,2026-05,Hardship request,SA,Phone,Resolved,12,799510,3,None,Y
CSE-200062,2026-10,Financial crime review,WA,Online,Open,208,198512,6,Identity documents,N
CSE-200063,2026-02,Payment dispute,QLD,Phone,Reopened,90,85912,12,None,N
CSE-200064,2026-08,Hardship request,WA,Branch,Awaiting Evidence,25,84797,15,Income evidence,N
CSE-200065,2026-03,Complaint,NZ,Phone,Assessing,229,770653,13,Statement of position,N
CSE-200066,2026-04,Hardship request,QLD,Phone,Assessing,110,459038,8,None,N
CSE-200067,2026-05,Complaint,WA,Branch,Awaiting Evidence,105,756323,14,None,N
CSE-200068,2026-11,Payment dispute,NSW,Phone,Assessing,230,470036,10,Statement of position,N
CSE-200069,2026-03,Loan application,WA,Phone,Reopened,28,129176,8,None,N
CSE-200070,2026-02,Financial crime review,QLD,Broker,Assessing,43,240485,4,None,N
CSE-200071,2026-07,Hardship request,NZ,Broker,Assessing,182,662211,9,Identity documents,N
CSE-200072,2026-11,Loan application,NZ,Broker,Declined,27,532682,18,Identity documents,N
CSE-200073,2026-12,Complaint,QLD,Broker,Resolved,133,128624,19,None,N
CSE-200074,2026-06,Complaint,NSW,Broker,Reopened,167,786753,8,Identity documents,N
CSE-200075,2026-07,Financial crime review,WA,Broker,Awaiting Evidence,240,368868,16,Identity documents,N
CSE-200076,2026-06,Financial crime review,SA,Broker,Resolved,22,476505,8,Income evidence,N
CSE-200077,2026-12,Payment dispute,SA,Phone,Resolved,45,148150,9,Transaction detail,N
CSE-200078,2026-08,Hardship request,NZ,Broker,Assessing,35,71782,4,Statement of position,N
CSE-200079,2026-02,Payment dispute,VIC,Broker,Assessing,103,693845,9,None,N
CSE-200080,2026-12,Complaint,QLD,Branch,Awaiting Evidence,117,88702,9,None,N
CSE-200081,2026-11,Payment dispute,VIC,Online,Resolved,35,662180,11,Income evidence,N
CSE-200082,2026-09,Complaint,WA,Online,Resolved,65,654426,3,None,Y
CSE-200083,2026-06,Payment dispute,NZ,Online,Assessing,26,574057,15,Identity documents,N
CSE-200084,2026-09,Complaint,SA,Online,Resolved,77,196119,13,None,N
CSE-200085,2026-06,Hardship request,WA,Phone,Awaiting Evidence,21,244087,18,None,N
CSE-200086,2026-09,Loan application,WA,Broker,Resolved,70,324569,16,None,N
