ClaimID,LodgedMonth,ClaimClass,Region,Channel,Status,DaysOpen,IncurredAUD,PaidAUD,ReserveAUD,DocumentCount,MissingEvidence,FraudReviewFlag
CLM-100001,2026-08,Contents,WA,Broker,Assessing,73,11334,4766,6568,3,None,N
CLM-100002,2026-01,Contents,NZ,Phone,Settled,85,11479,11479,0,7,None,N
CLM-100003,2026-10,Home,NZ,Phone,Open,80,56473,18444,38029,10,Police report,N
CLM-100004,2026-09,Motor,WA,Online,Assessing,51,20376,3275,17101,16,Repair quote,N
CLM-100005,2026-06,Contents,VIC,Online,Assessing,39,11556,2208,9348,6,None,N
CLM-100006,2026-10,Liability,QLD,Broker,Assessing,12,60797,14240,46557,4,Photos,N
CLM-100007,2026-01,Contents,VIC,Broker,Awaiting Evidence,104,6235,2675,3560,13,Repair quote,N
CLM-100008,2026-04,Motor,VIC,Online,Settled,21,2528,2528,0,15,None,N
CLM-100009,2026-09,Home,VIC,Mobile App,Assessing,103,9923,401,9522,16,None,N
CLM-100010,2026-02,Commercial Property,WA,Mobile App,Declined,86,96064,0,0,5,None,N
CLM-100011,2026-06,Travel,QLD,Phone,Settled,78,6345,6345,0,2,None,N
CLM-100012,2026-10,Liability,WA,Online,Reopened,146,124268,33472,90796,16,None,N
CLM-100013,2026-07,Travel,QLD,Mobile App,Open,179,5860,1317,4543,17,None,N
CLM-100014,2026-12,Liability,WA,Broker,Settled,94,74766,74766,0,2,Repair quote,N
CLM-100015,2026-01,Travel,NZ,Phone,Assessing,19,8045,3306,4739,2,None,N
CLM-100016,2026-12,Home,WA,Broker,Open,92,13109,3896,9213,8,None,N
CLM-100017,2026-10,Travel,WA,Mobile App,Assessing,61,6366,2565,3801,3,None,N
CLM-100018,2026-10,Motor,QLD,Online,Awaiting Evidence,41,3311,1423,1888,15,Photos,N
CLM-100019,2026-07,Travel,WA,Online,Open,155,7719,3354,4365,5,None,Y
CLM-100020,2026-03,Commercial Property,WA,Online,Open,57,98303,12006,86297,7,Photos,N
CLM-100021,2026-11,Motor,VIC,Online,Assessing,88,18013,7680,10333,7,Medical report,N
CLM-100022,2026-05,Travel,VIC,Broker,Settled,68,3341,3341,0,10,None,N
CLM-100023,2026-10,Travel,NSW,Phone,Settled,69,4413,4413,0,6,None,N
CLM-100024,2026-04,Travel,SA,Mobile App,Settled,80,1821,1821,0,14,Proof of ownership,N
CLM-100025,2026-10,Travel,WA,Phone,Declined,140,7593,0,0,12,None,N
CLM-100026,2026-12,Home,SA,Mobile App,Settled,83,32671,32671,0,16,None,N
CLM-100027,2026-06,Commercial Property,VIC,Mobile App,Declined,50,133126,0,0,8,None,N
CLM-100028,2026-11,Home,NZ,Phone,Settled,6,37717,37717,0,7,None,N
CLM-100029,2026-12,Liability,NSW,Online,Awaiting Evidence,34,90368,1672,88696,17,None,N
CLM-100030,2026-11,Home,SA,Broker,Declined,14,34935,0,0,12,None,N
CLM-100031,2026-04,Commercial Property,WA,Mobile App,Settled,21,126183,126183,0,9,Photos,Y
CLM-100032,2026-07,Travel,NZ,Phone,Settled,73,6830,6830,0,9,Proof of ownership,N
CLM-100033,2026-01,Motor,SA,Phone,Settled,78,4506,4506,0,5,None,N
CLM-100034,2026-07,Contents,QLD,Mobile App,Assessing,86,10346,1601,8745,13,None,N
CLM-100035,2026-05,Home,NSW,Mobile App,Settled,51,56851,56851,0,7,Repair quote,N
CLM-100036,2026-02,Home,SA,Mobile App,Open,47,58723,12304,46419,5,Repair quote,N
CLM-100037,2026-11,Contents,NZ,Mobile App,Awaiting Evidence,140,8389,1116,7273,9,None,Y
CLM-100038,2026-07,Contents,NZ,Online,Awaiting Evidence,101,7171,2374,4797,3,None,N
CLM-100039,2026-07,Liability,VIC,Online,Settled,45,120610,120610,0,13,None,N
CLM-100040,2026-06,Home,NZ,Broker,Awaiting Evidence,98,44822,2837,41985,5,Photos,N
CLM-100041,2026-12,Liability,VIC,Mobile App,Settled,74,63563,63563,0,15,Repair quote,N
CLM-100042,2026-09,Home,SA,Mobile App,Declined,145,55648,0,0,8,None,N
CLM-100043,2026-01,Commercial Property,NZ,Online,Open,93,189133,20963,168170,12,None,Y
CLM-100044,2026-02,Commercial Property,WA,Online,Settled,37,160736,160736,0,5,None,N
CLM-100045,2026-12,Commercial Property,QLD,Mobile App,Declined,131,104447,0,0,14,None,N
CLM-100046,2026-08,Motor,WA,Phone,Assessing,73,3319,936,2383,9,None,N
CLM-100047,2026-07,Contents,WA,Online,Awaiting Evidence,163,4432,292,4140,7,Medical report,N
CLM-100048,2026-11,Travel,QLD,Broker,Open,108,4071,1762,2309,15,Proof of ownership,N
CLM-100049,2026-09,Contents,SA,Phone,Settled,24,7728,7728,0,5,None,N
CLM-100050,2026-09,Contents,WA,Broker,Awaiting Evidence,174,10604,854,9750,12,None,N
CLM-100051,2026-07,Liability,SA,Broker,Awaiting Evidence,179,91206,39824,51382,15,Photos,N
CLM-100052,2026-07,Liability,QLD,Mobile App,Settled,29,88561,88561,0,12,Photos,N
CLM-100053,2026-10,Travel,VIC,Online,Open,66,6282,1786,4496,9,None,N
CLM-100054,2026-07,Contents,WA,Mobile App,Settled,21,6201,6201,0,3,None,Y
CLM-100055,2026-05,Contents,WA,Online,Open,121,12995,5287,7708,15,Repair quote,N
CLM-100056,2026-06,Motor,NZ,Broker,Settled,11,8127,8127,0,8,Proof of ownership,N
CLM-100057,2026-05,Motor,QLD,Mobile App,Settled,90,12760,12760,0,10,None,N
CLM-100058,2026-06,Home,SA,Phone,Settled,67,49020,49020,0,7,None,N
CLM-100059,2026-09,Liability,NZ,Online,Settled,62,101780,101780,0,4,Police report,N
CLM-100060,2026-04,Travel,QLD,Online,Declined,63,1973,0,0,10,Police report,N
CLM-100061,2026-09,Motor,WA,Broker,Settled,7,1992,1992,0,14,None,N
CLM-100062,2026-06,Travel,VIC,Broker,Assessing,73,4510,107,4403,12,Repair quote,N
CLM-100063,2026-02,Home,QLD,Broker,Declined,68,55345,0,0,2,Repair quote,N
CLM-100064,2026-03,Home,WA,Phone,Settled,5,61257,61257,0,10,Repair quote,N
CLM-100065,2026-11,Home,VIC,Broker,Awaiting Evidence,133,58617,22319,36298,12,None,N
CLM-100066,2026-12,Motor,NZ,Mobile App,Settled,72,15470,15470,0,12,Photos,N
CLM-100067,2026-07,Home,NZ,Online,Settled,83,13083,13083,0,4,Repair quote,N
CLM-100068,2026-09,Motor,NSW,Phone,Open,32,2172,795,1377,10,Photos,N
CLM-100069,2026-08,Motor,SA,Online,Settled,93,3247,3247,0,14,Repair quote,N
CLM-100070,2026-08,Liability,QLD,Phone,Settled,5,23227,23227,0,13,Repair quote,N
CLM-100071,2026-07,Commercial Property,SA,Online,Assessing,46,73996,33082,40914,5,None,N
CLM-100072,2026-10,Liability,QLD,Broker,Awaiting Evidence,124,106351,12926,93425,7,Medical report,N
CLM-100073,2026-06,Home,NZ,Online,Awaiting Evidence,27,8834,2587,6247,10,None,N
CLM-100074,2026-03,Home,NZ,Online,Open,148,27336,10270,17066,11,Medical report,N
CLM-100075,2026-10,Liability,NSW,Broker,Awaiting Evidence,133,72159,29790,42369,4,Repair quote,N
CLM-100076,2026-09,Motor,VIC,Broker,Settled,53,13349,13349,0,9,Medical report,N
CLM-100077,2026-04,Contents,NSW,Online,Settled,12,10189,10189,0,10,None,N
CLM-100078,2026-07,Travel,WA,Phone,Open,9,4716,1983,2733,14,None,Y
CLM-100079,2026-03,Commercial Property,NSW,Broker,Settled,9,203583,203583,0,15,Police report,N
CLM-100080,2026-09,Travel,VIC,Phone,Assessing,136,1345,181,1164,6,Medical report,N
CLM-100081,2026-06,Contents,NZ,Broker,Settled,90,8816,8816,0,15,None,N
CLM-100082,2026-09,Liability,SA,Phone,Open,47,80132,3032,77100,11,Proof of ownership,N
CLM-100083,2026-07,Contents,SA,Phone,Settled,7,6117,6117,0,4,Police report,Y
CLM-100084,2026-08,Contents,WA,Mobile App,Settled,64,4579,4579,0,6,Police report,Y
CLM-100085,2026-07,Travel,QLD,Phone,Awaiting Evidence,99,6530,1339,5191,10,None,N
CLM-100086,2026-07,Home,NZ,Phone,Open,7,21540,2519,19021,11,Repair quote,N
CLM-100087,2026-03,Travel,NZ,Mobile App,Open,176,6494,796,5698,13,None,N
CLM-100088,2026-06,Liability,NSW,Online,Settled,44,54847,54847,0,15,Police report,N
CLM-100089,2026-05,Travel,NSW,Online,Assessing,129,4081,1737,2344,10,Police report,N
