Month,Region,Product,Segment,Accounts,Balance_AUD,Arrears_30d_Accounts,Arrears_90d_Accounts,Avg_LVR_Pct,New_Originations,Provision_AUD
2026-01,NSW,Home Loan,Retail,5395,4466922283,66,22,66.6,123,9690374
2026-01,NSW,Personal Loan,Retail,3999,94990959,119,41,,105,567741
2026-01,NSW,Credit Card,Retail,13811,57531134,535,143,,219,333610
2026-01,NSW,Business Loan,Business,1164,468524795,21,7,56.2,24,1339906
2026-01,VIC,Home Loan,Retail,5036,3905761248,54,21,68.4,155,6828404
2026-01,VIC,Personal Loan,Retail,3837,92838520,120,42,,90,385657
2026-01,VIC,Credit Card,Retail,11493,46057181,527,179,,248,402616
2026-01,VIC,Business Loan,Business,1105,452248514,22,8,57.9,15,1259061
2026-01,QLD,Home Loan,Retail,3596,2768742408,38,13,71.5,105,4717501
2026-01,QLD,Personal Loan,Retail,2882,72115542,85,33,,75,472955
2026-01,QLD,Credit Card,Retail,8711,34130350,398,143,,145,240191
2026-01,QLD,Business Loan,Business,826,347611127,15,3,57.3,11,533787
2026-01,WA,Home Loan,Retail,2650,2191805940,30,9,66.5,62,3776238
2026-01,WA,Personal Loan,Retail,1919,47107748,64,22,,41,218331
2026-01,WA,Credit Card,Retail,6477,27436974,239,87,,191,177602
2026-01,WA,Business Loan,Business,559,222421830,9,3,57.8,11,547287
2026-01,NZ-North,Home Loan,Retail,2399,1841525650,27,7,68.4,46,2199073
2026-01,NZ-North,Personal Loan,Retail,1789,41969261,49,15,,52,131390
2026-01,NZ-North,Credit Card,Retail,5384,24131332,232,68,,150,139582
2026-01,NZ-North,Business Loan,Business,484,195897636,8,2,58.8,5,411702
2026-01,NZ-South,Home Loan,Retail,1274,950910261,14,4,70.8,22,1090978
2026-01,NZ-South,Personal Loan,Retail,902,21226838,31,11,,26,127817
2026-01,NZ-South,Credit Card,Retail,2813,11383734,111,34,,74,82351
2026-01,NZ-South,Business Loan,Business,259,106093526,4,1,60.8,5,238410
2026-02,NSW,Home Loan,Retail,6006,4482569654,62,20,66.1,132,6740754
2026-02,NSW,Personal Loan,Retail,4287,106018102,155,51,,100,663989
2026-02,NSW,Credit Card,Retail,13895,61339867,513,145,,335,379662
2026-02,NSW,Business Loan,Business,1169,480374205,23,8,60.2,15,1235667
2026-02,VIC,Home Loan,Retail,5108,3946338812,50,19,71.0,132,6970646
2026-02,VIC,Personal Loan,Retail,3744,88718030,134,38,,94,466927
2026-02,VIC,Credit Card,Retail,11480,49354943,474,143,,317,249939
2026-02,VIC,Business Loan,Business,1058,462256405,19,6,57.5,14,1086759
2026-02,QLD,Home Loan,Retail,3824,2970558072,41,12,67.0,58,5269316
2026-02,QLD,Personal Loan,Retail,2692,64166101,80,27,,39,234813
2026-02,QLD,Credit Card,Retail,8853,38867817,370,133,,185,273530
2026-02,QLD,Business Loan,Business,778,327346703,16,5,59.1,14,861947
2026-02,WA,Home Loan,Retail,2636,2023160111,31,11,66.9,64,4271631
2026-02,WA,Personal Loan,Retail,2080,52752133,61,18,,25,233389
2026-02,WA,Credit Card,Retail,6258,26749131,298,119,,109,255464
2026-02,WA,Business Loan,Business,588,240417418,13,3,59.3,9,493734
2026-02,NZ-North,Home Loan,Retail,2219,1610181170,25,9,68.6,38,3109988
2026-02,NZ-North,Personal Loan,Retail,1755,39520782,52,15,,51,148588
2026-02,NZ-North,Credit Card,Retail,5293,23525194,239,72,,64,176582
2026-02,NZ-North,Business Loan,Business,489,190469791,8,2,56.2,11,417141
2026-02,NZ-South,Home Loan,Retail,1294,994823268,14,5,70.8,17,1971258
2026-02,NZ-South,Personal Loan,Retail,940,23092208,30,8,,23,107205
2026-02,NZ-South,Credit Card,Retail,2873,11572587,138,48,,66,115924
2026-02,NZ-South,Business Loan,Business,274,120114519,4,1,58.5,3,180404
2026-03,NSW,Home Loan,Retail,5925,4823087084,73,20,66.9,124,6967404
2026-03,NSW,Personal Loan,Retail,4450,108319066,156,42,,134,554114
2026-03,NSW,Credit Card,Retail,13076,54700397,536,201,,307,431090
2026-03,NSW,Business Loan,Business,1284,538257549,27,10,57.7,18,2089432
2026-03,VIC,Home Loan,Retail,5281,4321990616,54,16,65.8,163,7464718
2026-03,VIC,Personal Loan,Retail,3804,95230521,128,45,,98,477064
2026-03,VIC,Credit Card,Retail,12134,49160047,517,161,,275,250143
2026-03,VIC,Business Loan,Business,1104,461242643,24,7,59.3,21,1709286
2026-03,QLD,Home Loan,Retail,3688,2992989102,44,11,67.6,74,4249957
2026-03,QLD,Personal Loan,Retail,2988,69598372,109,37,,77,337119
2026-03,QLD,Credit Card,Retail,9058,37924614,458,131,,258,326863
2026-03,QLD,Business Loan,Business,795,332210034,17,6,56.6,14,1233355
2026-03,WA,Home Loan,Retail,2790,2246511846,38,12,65.8,73,4999830
2026-03,WA,Personal Loan,Retail,2135,53277746,66,26,,38,358991
2026-03,WA,Credit Card,Retail,6343,27180093,256,95,,115,197822
2026-03,WA,Business Loan,Business,616,259771152,13,4,60.0,18,884795
2026-03,NZ-North,Home Loan,Retail,2338,1743822860,22,8,71.8,63,2977187
2026-03,NZ-North,Personal Loan,Retail,1803,45425374,51,18,,43,268122
2026-03,NZ-North,Credit Card,Retail,5578,24871611,208,70,,154,111941
2026-03,NZ-North,Business Loan,Business,488,192940482,8,2,57.6,8,381027
2026-03,NZ-South,Home Loan,Retail,1348,1100877004,16,5,66.6,34,2210945
2026-03,NZ-South,Personal Loan,Retail,952,24174675,27,10,,25,104457
2026-03,NZ-South,Credit Card,Retail,2962,11924373,143,42,,67,97841
2026-03,NZ-South,Business Loan,Business,287,124379867,6,1,58.0,7,228060
2026-04,NSW,Home Loan,Retail,6101,4950001394,78,20,66.9,172,9501437
2026-04,NSW,Personal Loan,Retail,4162,100525279,149,54,,89,578226
2026-04,NSW,Credit Card,Retail,13354,56190981,588,167,,402,279899
2026-04,NSW,Business Loan,Business,1248,520199001,28,10,57.5,31,2074532
2026-04,VIC,Home Loan,Retail,5366,4154983531,60,23,67.8,94,9187520
2026-04,VIC,Personal Loan,Retail,3982,96317721,146,52,,78,472748
2026-04,VIC,Credit Card,Retail,11658,47334157,569,186,,273,351991
2026-04,VIC,Business Loan,Business,1160,454264360,23,6,57.2,20,1028404
2026-04,QLD,Home Loan,Retail,3887,3024463932,47,13,69.4,79,5770349
2026-04,QLD,Personal Loan,Retail,2860,69539710,98,36,,63,339494
2026-04,QLD,Credit Card,Retail,9367,41128352,417,158,,162,272172
2026-04,QLD,Business Loan,Business,840,352966176,19,5,57.7,17,749682
2026-04,WA,Home Loan,Retail,2859,2186567161,36,12,69.5,86,5068023
2026-04,WA,Personal Loan,Retail,2091,48121405,68,18,,49,171404
2026-04,WA,Credit Card,Retail,6302,25641169,301,81,,150,138112
2026-04,WA,Business Loan,Business,600,250735056,14,5,57.8,16,804902
2026-04,NZ-North,Home Loan,Retail,2385,1976696069,26,7,68.5,59,2623055
2026-04,NZ-North,Personal Loan,Retail,1713,43610176,52,18,,52,206228
2026-04,NZ-North,Credit Card,Retail,5757,24570790,256,83,,74,188178
2026-04,NZ-North,Business Loan,Business,486,209831575,9,3,57.4,10,774158
2026-04,NZ-South,Home Loan,Retail,1357,1084606264,16,4,66.1,33,1682733
2026-04,NZ-South,Personal Loan,Retail,940,22209313,34,11,,14,137660
2026-04,NZ-South,Credit Card,Retail,2962,12746220,129,35,,51,70288
2026-04,NZ-South,Business Loan,Business,288,125510047,4,1,60.8,7,229159
2026-05,NSW,Home Loan,Retail,6108,5036849259,64,23,68.3,110,7391286
2026-05,NSW,Personal Loan,Retail,4200,98097335,144,54,,61,629438
2026-05,NSW,Credit Card,Retail,13399,56436375,664,183,,345,352302
2026-05,NSW,Business Loan,Business,1313,541645512,25,7,59.3,38,1209258
2026-05,VIC,Home Loan,Retail,5427,4388598824,62,17,70.8,165,7482478
2026-05,VIC,Personal Loan,Retail,3931,95559397,121,46,,81,528109
2026-05,VIC,Credit Card,Retail,11748,49733636,524,201,,244,494983
2026-05,VIC,Business Loan,Business,1091,417269754,21,6,58.5,24,938664
2026-05,QLD,Home Loan,Retail,4030,3113035049,53,16,67.2,65,6942185
2026-05,QLD,Personal Loan,Retail,2905,66386160,110,38,,63,501987
2026-05,QLD,Credit Card,Retail,8993,39622375,413,137,,122,232870
2026-05,QLD,Business Loan,Business,868,357076929,19,6,57.2,11,1311570
2026-05,WA,Home Loan,Retail,2899,2419277299,40,14,70.7,71,6234489
2026-05,WA,Personal Loan,Retail,2017,48788569,77,28,,25,351971
2026-05,WA,Credit Card,Retail,6598,29381689,394,109,,173,259678
2026-05,WA,Business Loan,Business,596,259383087,14,4,57.7,11,816748
2026-05,NZ-North,Home Loan,Retail,2489,1847322643,28,7,68.3,70,2255803
2026-05,NZ-North,Personal Loan,Retail,1711,41622203,53,17,,49,244881
2026-05,NZ-North,Credit Card,Retail,5776,25135319,231,89,,160,141054
2026-05,NZ-North,Business Loan,Business,535,228682809,10,3,57.4,10,757347
2026-05,NZ-South,Home Loan,Retail,1250,975185258,13,3,70.9,34,1302041
2026-05,NZ-South,Personal Loan,Retail,976,24689647,37,12,,15,108789
2026-05,NZ-South,Credit Card,Retail,3218,14412811,125,40,,68,75570
2026-05,NZ-South,Business Loan,Business,271,105688979,5,1,60.3,8,223808
2026-06,NSW,Home Loan,Retail,6202,4587627319,72,20,70.0,101,8031008
2026-06,NSW,Personal Loan,Retail,4508,105910964,135,45,,107,399476
2026-06,NSW,Credit Card,Retail,14082,61167924,725,189,,244,338913
2026-06,NSW,Business Loan,Business,1269,484675173,22,8,58.7,33,1381548
2026-06,VIC,Home Loan,Retail,5557,4330902338,65,24,70.1,80,9283769
2026-06,VIC,Personal Loan,Retail,3928,95636987,126,45,,119,476632
2026-06,VIC,Credit Card,Retail,11797,52120767,470,165,,143,311002
2026-06,VIC,Business Loan,Business,1088,453257474,25,8,58.4,33,1631503
2026-06,QLD,Home Loan,Retail,3885,3027514474,62,19,67.9,84,7336003
2026-06,QLD,Personal Loan,Retail,2979,69141767,107,31,,41,416555
2026-06,QLD,Credit Card,Retail,9004,38293432,492,164,,159,364716
2026-06,QLD,Business Loan,Business,813,341386897,19,6,60.7,19,1351496
2026-06,WA,Home Loan,Retail,2843,2183467059,34,10,68.8,41,4424001
2026-06,WA,Personal Loan,Retail,2122,48318957,83,22,,42,236508
2026-06,WA,Credit Card,Retail,7041,30921296,364,105,,160,166184
2026-06,WA,Business Loan,Business,643,260765782,14,5,56.4,19,958837
2026-06,NZ-North,Home Loan,Retail,2542,1875763475,34,11,68.7,77,3251667
2026-06,NZ-North,Personal Loan,Retail,1852,45435278,62,22,,26,260294
2026-06,NZ-North,Credit Card,Retail,5487,23523289,217,78,,84,124356
2026-06,NZ-North,Business Loan,Business,522,206838875,9,2,56.4,12,363933
2026-06,NZ-South,Home Loan,Retail,1264,1001488979,16,5,69.6,25,1422958
2026-06,NZ-South,Personal Loan,Retail,963,22541975,33,9,,25,77771
2026-06,NZ-South,Credit Card,Retail,3155,12680767,158,60,,55,106504
2026-06,NZ-South,Business Loan,Business,274,111797211,6,2,57.1,6,322721
2026-07,NSW,Home Loan,Retail,6015,4841267434,68,24,69.9,85,7564994
2026-07,NSW,Personal Loan,Retail,4547,115422804,154,45,,96,636319
2026-07,NSW,Credit Card,Retail,14630,57653965,638,176,,287,329761
2026-07,NSW,Business Loan,Business,1347,558103722,30,10,60.5,28,1966065
2026-07,VIC,Home Loan,Retail,5234,3968169144,66,24,68.3,74,8567874
2026-07,VIC,Personal Loan,Retail,4072,93097449,145,46,,90,376036
2026-07,VIC,Credit Card,Retail,11990,50520515,559,146,,331,348595
2026-07,VIC,Business Loan,Business,1149,466258377,27,8,56.5,17,1669608
2026-07,QLD,Home Loan,Retail,3897,3201485435,52,14,66.9,85,5671018
2026-07,QLD,Personal Loan,Retail,3025,74791334,138,38,,60,442999
2026-07,QLD,Credit Card,Retail,9109,38228976,447,139,,111,300177
2026-07,QLD,Business Loan,Business,823,342796881,20,5,55.8,11,765765
2026-07,WA,Home Loan,Retail,3040,2480790831,44,12,70.4,53,5501614
2026-07,WA,Personal Loan,Retail,2158,54249563,85,28,,36,322770
2026-07,WA,Credit Card,Retail,7077,29855611,431,112,,118,261700
2026-07,WA,Business Loan,Business,629,252241037,14,3,56.8,16,691453
2026-07,NZ-North,Home Loan,Retail,2361,1919125594,26,10,70.6,29,3761748
2026-07,NZ-North,Personal Loan,Retail,1903,44437777,63,18,,47,148856
2026-07,NZ-North,Credit Card,Retail,5768,25038777,254,79,,151,122383
2026-07,NZ-North,Business Loan,Business,520,201068076,9,2,58.9,14,330125
2026-07,NZ-South,Home Loan,Retail,1353,1051743791,18,5,67.7,33,1939033
2026-07,NZ-South,Personal Loan,Retail,1038,25332866,33,9,,14,113990
2026-07,NZ-South,Credit Card,Retail,3158,13405464,154,56,,49,100137
2026-07,NZ-South,Business Loan,Business,280,111799604,6,2,58.8,6,300231
2026-08,NSW,Home Loan,Retail,6175,4671050014,87,34,71.4,80,15234121
2026-08,NSW,Personal Loan,Retail,4424,109410365,161,62,,98,896593
2026-08,NSW,Credit Card,Retail,13949,60595591,759,222,,229,434208
2026-08,NSW,Business Loan,Business,1283,561020549,24,6,59.4,22,1240825
2026-08,VIC,Home Loan,Retail,5288,3856309819,73,21,67.4,86,8972190
2026-08,VIC,Personal Loan,Retail,4049,100154408,150,41,,58,410399
2026-08,VIC,Credit Card,Retail,13105,53223873,702,183,,166,323788
2026-08,VIC,Business Loan,Business,1136,490127482,22,6,58.8,18,1016957
2026-08,QLD,Home Loan,Retail,4217,3095713843,73,21,67.8,103,5755622
2026-08,QLD,Personal Loan,Retail,2938,69044949,134,35,,69,446980
2026-08,QLD,Credit Card,Retail,9619,43209907,515,150,,227,350377
2026-08,QLD,Business Loan,Business,856,333826272,20,6,57.1,22,1133409
2026-08,WA,Home Loan,Retail,2793,2215032157,41,12,69.9,68,3631456
2026-08,WA,Personal Loan,Retail,2094,49405675,103,35,,62,489664
2026-08,WA,Credit Card,Retail,6668,27383869,422,126,,97,231158
2026-08,WA,Business Loan,Business,658,257152373,15,5,59.2,9,695455
2026-08,NZ-North,Home Loan,Retail,2606,2120954392,35,10,68.6,44,3735224
2026-08,NZ-North,Personal Loan,Retail,1914,43055753,64,18,,42,179131
2026-08,NZ-North,Credit Card,Retail,5547,23145115,256,78,,109,160713
2026-08,NZ-North,Business Loan,Business,539,206575256,13,4,60.3,10,835949
2026-08,NZ-South,Home Loan,Retail,1423,1051115505,15,4,69.4,28,1049886
2026-08,NZ-South,Personal Loan,Retail,991,23938471,33,9,,28,106594
2026-08,NZ-South,Credit Card,Retail,3045,12248706,157,43,,61,74283
2026-08,NZ-South,Business Loan,Business,279,113650644,6,1,58.2,8,218308
2026-09,NSW,Home Loan,Retail,5874,4689113899,82,30,71.5,96,9684156
2026-09,NSW,Personal Loan,Retail,4340,99478034,155,59,,119,777572
2026-09,NSW,Credit Card,Retail,14388,63676511,671,234,,179,552435
2026-09,NSW,Business Loan,Business,1312,553812646,24,7,58.6,35,1525914
2026-09,VIC,Home Loan,Retail,5659,4609480721,72,18,71.0,104,5577246
2026-09,VIC,Personal Loan,Retail,3911,88064136,121,40,,94,516343
2026-09,VIC,Credit Card,Retail,12595,52316587,583,219,,374,503092
2026-09,VIC,Business Loan,Business,1131,435526329,21,7,57.4,24,1203658
2026-09,QLD,Home Loan,Retail,4118,3395550853,57,15,66.8,70,7308473
2026-09,QLD,Personal Loan,Retail,2962,74175000,136,38,,64,346238
2026-09,QLD,Credit Card,Retail,10042,40233065,540,145,,211,222275
2026-09,QLD,Business Loan,Business,901,369403959,24,7,60.4,15,1257618
2026-09,WA,Home Loan,Retail,2980,2217306044,43,14,66.2,58,5865301
2026-09,WA,Personal Loan,Retail,2205,49414537,112,38,,46,305123
2026-09,WA,Credit Card,Retail,6873,29627253,439,169,,104,280749
2026-09,WA,Business Loan,Business,656,266632712,19,6,57.7,12,971860
2026-09,NZ-North,Home Loan,Retail,2571,1946132624,36,10,68.0,59,4370504
2026-09,NZ-North,Personal Loan,Retail,1864,43128592,59,22,,29,268641
2026-09,NZ-North,Credit Card,Retail,6011,26114705,263,101,,143,206263
2026-09,NZ-North,Business Loan,Business,550,238772176,11,3,57.3,11,766394
2026-09,NZ-South,Home Loan,Retail,1317,1029981769,16,5,67.1,32,1462158
2026-09,NZ-South,Personal Loan,Retail,985,24034977,31,9,,15,107731
2026-09,NZ-South,Credit Card,Retail,3193,13562715,145,46,,70,84584
2026-09,NZ-South,Business Loan,Business,289,113099060,6,1,57.6,4,143408
2026-10,NSW,Home Loan,Retail,6403,5122481853,74,22,69.9,92,8163108
2026-10,NSW,Personal Loan,Retail,4627,107229954,176,53,,107,498610
2026-10,NSW,Credit Card,Retail,13842,58097446,751,287,,182,457384
2026-10,NSW,Business Loan,Business,1323,547755650,29,9,56.2,34,1423062
2026-10,VIC,Home Loan,Retail,5333,4169354267,77,21,65.9,82,8094074
2026-10,VIC,Personal Loan,Retail,4107,92973185,140,52,,63,691428
2026-10,VIC,Credit Card,Retail,12832,55391477,683,265,,367,641217
2026-10,VIC,Business Loan,Business,1175,496948001,26,9,60.9,23,1901846
2026-10,QLD,Home Loan,Retail,4033,3024807473,59,23,71.0,102,8181733
2026-10,QLD,Personal Loan,Retail,2938,68707228,139,44,,72,393619
