Month,Region,ClassOfBusiness,PoliciesInForce,GrossWrittenPremiumAUD,ClaimsIncurredAUD,ClaimCount,AvgClaimSeverityAUD,LossRatioPct,RenewalRatePct
2026-01,NSW,Motor,23879,28243693,7439229,1323,5623,26.3,86.6
2026-01,NSW,Home,15545,29097882,12796797,689,18573,44.0,81.0
2026-01,NSW,Commercial Property,3369,27188988,14703831,207,71033,54.1,86.3
2026-01,NSW,Liability,4319,21696256,5559060,130,42762,25.6,84.4
2026-01,NSW,Travel,12198,2322117,1125852,546,2062,48.5,91.6
2026-01,VIC,Motor,20923,25261838,6440931,1113,5787,25.5,87.8
2026-01,VIC,Home,13786,25945949,10163424,552,18412,39.2,82.2
2026-01,VIC,Commercial Property,2792,22589626,9831870,174,56505,43.5,90.2
2026-01,VIC,Liability,3557,17914980,4876418,107,45574,27.2,82.0
2026-01,VIC,Travel,10705,2062953,1554696,572,2718,75.4,91.9
2026-01,QLD,Motor,17868,20267899,7202844,1269,5676,35.5,88.2
2026-01,QLD,Home,11943,24039482,11025112,518,21284,45.9,92.8
2026-01,QLD,Commercial Property,2326,20486417,9107775,135,67465,44.5,82.6
2026-01,QLD,Liability,3084,16995366,2962705,73,40585,17.4,81.6
2026-01,QLD,Travel,8826,1738447,1247795,479,2605,71.8,92.4
2026-01,WA,Motor,10689,12673282,4731612,706,6702,37.3,82.2
2026-01,WA,Home,6957,14134929,5085654,266,19119,36.0,85.9
2026-01,WA,Commercial Property,1378,11412425,3907150,65,60110,34.2,78.6
2026-01,WA,Liability,1777,8888492,1921119,51,37669,21.6,90.5
2026-01,WA,Travel,5415,1069720,472841,227,2083,44.2,93.6
2026-01,SA,Motor,8194,10140316,3037112,551,5512,30.0,78.7
2026-01,SA,Home,5264,10267525,4124250,225,18330,40.2,81.7
2026-01,SA,Commercial Property,1127,9776165,3628385,67,54155,37.1,86.8
2026-01,SA,Liability,1363,6938257,1329077,37,35921,19.2,89.3
2026-01,SA,Travel,4063,736771,437740,215,2036,59.4,79.5
2026-01,NZ,Motor,9109,10911415,3569682,519,6878,32.7,78.7
2026-01,NZ,Home,5840,11931587,4288750,235,18250,35.9,78.7
2026-01,NZ,Commercial Property,1143,9859713,4160856,56,74301,42.2,89.7
2026-01,NZ,Liability,1492,7952847,1414588,38,37226,17.8,92.0
2026-01,NZ,Travel,4497,832904,530478,234,2267,63.7,79.4
2026-02,NSW,Motor,25543,30208631,9348235,1495,6253,30.9,91.4
2026-02,NSW,Home,15961,31128196,13399094,577,23222,43.0,80.8
2026-02,NSW,Commercial Property,3393,28553360,13350258,207,64494,46.8,80.0
2026-02,NSW,Liability,4197,22586356,4930942,109,45238,21.8,89.2
2026-02,NSW,Travel,11705,2273583,1308612,501,2612,57.6,86.8
2026-02,VIC,Motor,22024,26202187,8348658,1433,5826,31.9,84.0
2026-02,VIC,Home,13865,26313363,13637533,637,21409,51.8,88.4
2026-02,VIC,Commercial Property,2874,23152870,11275740,171,65940,48.7,88.9
