Month,Region,Segment,Members,FUMAUD,InflowsAUD,OutflowsAUD,NetFlowAUD,SwitchedOut,ContactRatePct
2026-01,NSW,Accumulation <35,29155,1160137781,6928888,9712039,-2783151,29,2.7
2026-01,NSW,Accumulation 35-49,41285,6924685659,28538971,33992359,-5453388,52,1.1
2026-01,NSW,Accumulation 50-59,23901,8016701295,84445158,67100258,17344900,31,1.8
2026-01,NSW,Pre-retirement 60-64,11214,5284196017,29068175,21815642,7252533,18,2.7
2026-01,NSW,Pension 65+,8266,4925247629,61257873,53334670,7923203,9,3.3
2026-01,VIC,Accumulation <35,25113,1005582163,10912347,3860444,7051903,23,3.9
2026-01,VIC,Accumulation 35-49,35315,5694875918,70662884,24076287,46586597,38,2.2
2026-01,VIC,Accumulation 50-59,22293,6848785888,27864887,48230326,-20365439,26,2.4
2026-01,VIC,Pre-retirement 60-64,9800,4625628056,31630971,36497191,-4866220,15,2.5
2026-01,VIC,Pension 65+,7325,4289645559,55709971,47696442,8013529,9,1.3
2026-01,QLD,Accumulation <35,20221,791560837,7584724,6575451,1009273,25,2.7
2026-01,QLD,Accumulation 35-49,27260,4335128788,23582537,34713399,-11130862,30,1.2
2026-01,QLD,Accumulation 50-59,17463,5528170582,46917147,46989526,-72379,19,2.4
2026-01,QLD,Pre-retirement 60-64,7515,3659267813,25843149,23109016,2734133,12,2.6
2026-01,QLD,Pension 65+,5618,3495565294,19954517,35254394,-15299877,5,1.6
2026-01,WA,Accumulation <35,12931,477956709,4956191,2325915,2630276,14,1.3
2026-01,WA,Accumulation 35-49,18184,3044668424,34483340,25516258,8967082,23,3.3
2026-01,WA,Accumulation 50-59,11545,3625107520,30185581,30614795,-429214,12,4.0
2026-01,WA,Pre-retirement 60-64,5360,2737098096,33771208,8306248,25464960,9,3.6
2026-01,WA,Pension 65+,3791,2339564880,24241839,29997511,-5755672,4,3.6
2026-01,SA,Accumulation <35,9074,365389301,4444779,3082965,1361814,8,2.3
2026-01,SA,Accumulation 35-49,12091,1944160192,10959061,7368061,3591000,13,1.6
2026-01,SA,Accumulation 50-59,7304,2268673164,13488494,15461839,-1973345,7,2.5
2026-01,SA,Pre-retirement 60-64,3510,1779999559,18639895,8014705,10625190,4,3.1
2026-01,SA,Pension 65+,2461,1549463587,7867941,19332507,-11464566,2,3.5
2026-01,NZ,Accumulation <35,7636,297849203,3843197,940068,2903129,6,2.0
2026-01,NZ,Accumulation 35-49,10544,1650932471,10935025,8898420,2036605,13,4.6
2026-01,NZ,Accumulation 50-59,6899,2325340578,15770208,16383144,-612936,7,2.3
2026-01,NZ,Pre-retirement 60-64,2959,1513288599,18852330,5434028,13418302,5,4.1
2026-01,NZ,Pension 65+,2180,1364585452,8787134,20515653,-11728519,2,3.2
2026-02,NSW,Accumulation <35,28173,1135787291,12570794,4504406,8066388,27,2.2
2026-02,NSW,Accumulation 35-49,39957,6369646343,62942591,35450766,27491825,46,4.6
2026-02,NSW,Accumulation 50-59,25027,8473102074,55100798,30594933,24505865,31,1.6
2026-02,NSW,Pre-retirement 60-64,11172,5548073270,48171116,32245164,15925952,27,3.2
2026-02,NSW,Pension 65+,8533,5355370881,68574162,67000856,1573306,8,2.7
2026-02,VIC,Accumulation <35,24408,951052806,5118332,7046171,-1927839,29,2.5
2026-02,VIC,Accumulation 35-49,35469,5602839040,48607230,34188611,14418619,33,1.7
2026-02,VIC,Accumulation 50-59,21205,6770450573,46039041,28133561,17905480,24,4.5
2026-02,VIC,Pre-retirement 60-64,9947,4714415258,29221158,20541978,8679180,19,2.9
2026-02,VIC,Pension 65+,7571,4740460861,33071657,61883095,-28811438,6,3.6
2026-02,QLD,Accumulation <35,19019,767769800,7595833,5415472,2180361,22,4.7
2026-02,QLD,Accumulation 35-49,26822,4329811130,18160065,21008220,-2848155,33,2.6
2026-02,QLD,Accumulation 50-59,16431,5170906265,28643271,29000057,-356786,15,4.3
2026-02,QLD,Pre-retirement 60-64,7930,3768407036,18012743,33287729,-15274986,17,2.0
2026-02,QLD,Pension 65+,5846,3735779600,26621274,56428330,-29807056,6,1.9
2026-02,WA,Accumulation <35,13500,507600923,5318634,2693438,2625196,15,3.7
2026-02,WA,Accumulation 35-49,18207,3023076466,33801318,14339042,19462276,19,2.4
2026-02,WA,Accumulation 50-59,11557,3706186207,22243942,19988883,2255059,11,1.8
2026-02,WA,Pre-retirement 60-64,5327,2637262011,17715329,21260028,-3544699,10,3.2
2026-02,WA,Pension 65+,3907,2498274125,29323421,33368335,-4044914,3,1.6
2026-02,SA,Accumulation <35,8601,319347870,2954192,1952973,1001219,8,4.3
2026-02,SA,Accumulation 35-49,12243,1957519782,16791189,10070440,6720749,12,4.4
2026-02,SA,Accumulation 50-59,7427,2544506707,14099483,18398534,-4299051,6,1.1
2026-02,SA,Pre-retirement 60-64,3407,1748513790,7925789,8740965,-815176,7,4.1
2026-02,SA,Pension 65+,2609,1611403493,19167530,24050623,-4883093,3,1.9
2026-02,NZ,Accumulation <35,7663,295483843,1589187,1177713,411474,7,1.4
2026-02,NZ,Accumulation 35-49,11004,1813076371,12224505,5668951,6555554,11,2.9
2026-02,NZ,Accumulation 50-59,6590,2091526734,15263282,18480777,-3217495,6,2.0
2026-02,NZ,Pre-retirement 60-64,2907,1397986437,13802473,8800149,5002324,5,2.6
2026-02,NZ,Pension 65+,2234,1361242209,16014974,14478578,1536396,2,3.3
2026-03,NSW,Accumulation <35,28687,1106957722,4442421,5668093,-1225672,31,4.7
2026-03,NSW,Accumulation 35-49,40652,6816806151,69980801,42411283,27569518,43,1.7
2026-03,NSW,Accumulation 50-59,24983,8311120133,55340952,66734077,-11393125,28,2.4
2026-03,NSW,Pre-retirement 60-64,10797,5468401984,25234107,47597693,-22363586,26,3.3
2026-03,NSW,Pension 65+,8121,4956070009,48287203,73340461,-25053258,7,3.2
2026-03,VIC,Accumulation <35,26256,1040409947,6185018,7015044,-830026,24,2.2
2026-03,VIC,Accumulation 35-49,36037,5704014801,27370537,40944777,-13574240,34,1.3
2026-03,VIC,Accumulation 50-59,21074,6866696529,39071824,36542139,2529685,19,3.5
2026-03,VIC,Pre-retirement 60-64,10248,4837332793,55366108,37816531,17549577,25,3.8
2026-03,VIC,Pension 65+,7530,4552509523,45725357,71179402,-25454045,9,4.3
2026-03,QLD,Accumulation <35,20503,810552906,9916340,6063202,3853138,23,2.5
2026-03,QLD,Accumulation 35-49,27713,4684871481,57072772,37430855,19641917,24,3.9
2026-03,QLD,Accumulation 50-59,17341,5760178739,73463519,45710519,27753000,21,3.5
2026-03,QLD,Pre-retirement 60-64,7865,4032423676,29399533,23091994,6307539,19,4.5
2026-03,QLD,Pension 65+,5882,3779729036,33502561,46041006,-12538445,7,4.4
2026-03,WA,Accumulation <35,13072,518837880,5562219,3282783,2279436,17,4.7
2026-03,WA,Accumulation 35-49,18237,3171229600,18081690,27824341,-9742651,21,4.4
2026-03,WA,Accumulation 50-59,11773,3779394192,47039281,22578320,24460961,14,3.6
2026-03,WA,Pre-retirement 60-64,4986,2445893831,16103704,11397681,4706023,14,4.1
2026-03,WA,Pension 65+,3842,2412264427,23029895,34838114,-11808219,3,2.5
2026-03,SA,Accumulation <35,9065,341300322,3541795,1427731,2114064,9,1.5
2026-03,SA,Accumulation 35-49,12732,2178722054,14929615,7012164,7917451,15,3.1
2026-03,SA,Accumulation 50-59,7464,2322577246,16350847,12071788,4279059,8,4.5
2026-03,SA,Pre-retirement 60-64,3538,1666750619,16962317,7778000,9184317,8,3.6
2026-03,SA,Pension 65+,2526,1626227156,14474402,25834422,-11360020,2,4.0
2026-03,NZ,Accumulation <35,7514,292330536,1608773,956836,651937,7,2.8
2026-03,NZ,Accumulation 35-49,11245,1816622522,23452533,6987047,16465486,11,2.6
2026-03,NZ,Accumulation 50-59,6800,2119606840,20828604,9817056,11011548,7,3.5
2026-03,NZ,Pre-retirement 60-64,2949,1529715822,9459440,5706737,3752703,6,2.9
2026-03,NZ,Pension 65+,2299,1344583036,16386628,23097766,-6711138,2,2.1
2026-04,NSW,Accumulation <35,28122,1129196292,5336344,6577210,-1240866,33,3.8
2026-04,NSW,Accumulation 35-49,39016,6436200318,37127314,30413407,6713907,41,4.6
2026-04,NSW,Accumulation 50-59,24690,8149911582,90756234,59431608,31324626,23,4.1
2026-04,NSW,Pre-retirement 60-64,11051,5736606676,63235980,21244879,41991101,40,1.5
2026-04,NSW,Pension 65+,8606,4997403939,44148020,87737796,-43589776,10,2.5
2026-04,VIC,Accumulation <35,25877,1007085369,4815170,6099490,-1284320,30,2.7
2026-04,VIC,Accumulation 35-49,36199,6218549861,34205740,32973197,1232543,33,4.5
2026-04,VIC,Accumulation 50-59,21638,6929229745,32749834,46609507,-13859673,27,2.4
2026-04,VIC,Pre-retirement 60-64,10089,5122936969,36858460,33981024,2877436,32,1.7
